bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,
,,,,,,,,,ผมหยิบพุดดิ้งสตรอเบอรี่ที่เก็บไว้ในตู้เย็นออกมา,,,,I took out the strawberry pudding I had stored in the fridge.,
,,,1,,,wow,,yuno,เอาสิ,,yuno_2_5_007,,Gimme.,
,,,,,,,,,พอพูดจบ ยูโนะก็รีบคว้าพุดดิ้งสตอเบอรี่จากมือผมอย่างรวดเร็ว,,,,"As soon as she spoke, Yuno quickly snatched the strawberry pudding from my hands.",
,,,,,,happy,,yuno,ว้าว นี่มันของโปรดของหนูนี่นา,,yuno_2_5_008,,"Wow, this is my favorite!",
,,,,,,,,yuno,อื้ม อร่อยเหมือนเคย ทั้งหวานชุ่มฉ่ำ นุ่มละมุนในปาก,,yuno_2_5_009,,"Mmm, delicious as always. So sweet and juicy, soft and silky in my mouth.",
,,,,hide yuno,,,,yuno,รักพี่ที่สุดในโลกเลย,,yuno_2_5_010,,I love you the most in the world!,
,,,,,,,,,แม้ว่าพุดดิ้งสตรอเบอรี่เป็นขนมหวานราคาถูกที่ซื้อได้จากร้านสะดวกซื้อ,,,,"Although strawberry pudding is a cheap dessert you can buy at the convenience store,",
,,,,,,,,,แต่สำหรับยูโนะ พุดดิ้งสตรอเบอรี่คือ the best ของกินที่อร่อยที่สุดในโลก,,,,"to Yuno, strawberry pudding is the best, most delicious food in the world.",
,,,,,,,,,,,,,,
,,,,,,,,,หลังจากที่ยูโนะกินพุดดิ้งสตรอเบอรี่เสร็จ เธอก็พูดด้วยสีหน้ายิ้มแย้มอย่างชื่นมื่น,,,,"After finishing the pudding, Yuno spoke with a beaming smile on her face.",
,,,0,yuno_c,,smug2_2,,yuno,จริงสิ พี่จ๋า มีเรื่องอยากให้ช่วยหน่อย,,yuno_2_5_011,,"That's right, dear brother. There's something I need your help with.",
,,,,,,ah_2,,yuno,ตอนนี้เกม Seal Impact พึ่งออกอัปเดตเพิ่มตัวละครใหม่,,yuno_2_5_012,,The Seal Impact game just released an update with new characters.,
,,,,,,,,yuno,โดยปกติจะมีตัวละครใหม่แค่ตัวเดียว แต่รอบนี้ธีมหลักคือพรหมลิขิต มีตัวละครแมวน้ำคู่รักจากชาติปางก่อนเพิ่มเข้ามาใหม่สองตัว,,yuno_2_5_013,,"Usually there's only one new character, but this time the theme is destiny, so they added a pair of seal lovers from a past life.",
,,,,,,,,yuma,อยากได้เงินไปกดสุ่มกาชาเหรอ,,,,You want money to do gacha pulls?,
,,,,,,serious,,yuno,ไม่ใช่ เรื่องเงินเรื่องเล็ก อย่าลืมว่าหนูเป็น Top 10 ของเกมนี้นะ ได้ครบทุกตัวแถมเลเวลตันแล้วด้วย,,yuno_2_5_014,,"No, money is no issue. Don't forget I'm a top 10 player in this game. I have every character at max level already.",
,,,,,,,,yuma,นี่เธอเอาเวลาที่ไหนมาเล่นเนี่ย,,,,Where do you find the time to play so much?,
,,,,,,confident_2,,yuno,ฝีมือล้วนๆ แค่นี้เรื่องจิ๊บจ๊อย ปัญหาคือ…,,yuno_2_5_015,,Pure skill. This is child's play. The issue is...,
,,,,,,ah,,yuno,ตอนนี้เกม Seal Impact จัดอีเวนท์แบบออฟไลน์ที่ห้างฯ ในเมือง,,yuno_2_5_016,,"Right now, Seal Impact is holding an offline event at the mall in town.",
,,,,,,,,yuno,คนที่เข้าร่วมกิจกรรมเท่านั้นที่จะได้รับตุ๊กตา limited edition ไม่สามารถหาซื้อได้,,yuno_2_5_017,,Only people who participate in the event will receive a limited edition plush toy that can't be bought.,
,,,,,,hehe,,yuno,พี่ช่วยไปร่วมกิจกรรมให้หน่อยสิ หนูอยากได้ตุ๊กตามากเลย,,yuno_2_5_018,,Can you go participate in the event for me? I really want that plush toy.,
,,,,,,,,yuma,แค่ไปที่บูธกิจกรรมที่ห้างฯ ใช่มั้ย ได้เลย,,,,"I just have to go to the event booth at the mall, right? No problem.",
,,,,,,suspicious_2,,yuno,มันมีเงื่อนไขยุ่งยากนิดหน่อย…,,yuno_2_5_019,,There's a bit of a tricky condition...,
,,,,,,,,yuma,เพื่อยูโนะพี่ทำได้ทุกอย่าง ให้ไปนอนรอคิวตอนตีสี่ก็ทำได้,,,,"For Yuno, I'd do anything. I'd even go line up at 4am if needed.",
,,,,,,blank_2,,yuno,คนที่เข้าร่วมกิจกรรมต้องเป็นคู่รักกัน,,yuno_2_5_020,,The event participants have to be a couple.,
,,,,,,,,yuma,เมื่อกี้ว่าไงนะ พูดอีกทีสิ,,,,What did you say just now? Say it again.,
,,,,,,confident_2,shine,yuno,คนที่เข้าร่วมกิจกรรมต้องเป็นคู่รักกัน,,yuno_2_5_021,,The event participants have to be a couple.,
,,,,,,,,yuno,ตัวละครใหม่ในเกมเป็นคู่รักกัน ทางค่ายเกมเลยจัดกิจกรรมคู่รักให้เข้าธีมกัน,,yuno_2_5_022,,"The new characters in the game are lovers, so the game company made it a couples-themed event.",
,,,,,,,,yuma,คนที่ ‘ระยะเวลาที่ไม่มีแฟน = อายุ’ แบบพี่จะไปหาแฟนจากไหนเล่า,,,,Where is someone who's been single his whole life like you going to find a girlfriend?,
,,,,,,smug2_2,,yuno,แหม ระดับพี่ วันเดียวก็สร้างฮาเร็มได้แล้ว,,yuno_2_5_023,,"Oh please, someone of your caliber could build a harem in a day.",
,,,,,,,,yuma,ถ้าทำได้ก็ทำไปนานแล้วเฟ้ย,,,,"If I could, I would've done it long ago!",
,,,,,,panic4_2,,yuno,ไม่ต้องเป็นคู่รักของจริงก็ได้ แค่ติ๊ต่างว่าเป็นแฟนกันก็พอ,,yuno_2_5_024,,It doesn't have to be a real couple. You just have to pretend to be dating.,
,,,,,,,,yuma,นั่นแหละ จะไปหาแฟนหลอกๆ มาจากไหนละนั่น,,,,"That's the thing, where am I supposed to find a fake girlfriend?",
,,,,,,confident,,yuno,หนูเชื่อใจพี่ ฝีมือระดับพี่ทำได้อยู่แล้ว,,yuno_2_5_025,,"I have faith in you. With your skills, you can definitely pull it off.",
,,,,,,,,,พอพูดจบ ยูโนะก็หยิบแผ่นเกมมา,,,,"Finishing her sentence, Yuno took out a game disc.",
,,,1,yuno_c,,hehe,,yuno,นี่ไง เกมที่พี่ชอบเล่น ชื่อเกมอะไรนะ… The picture of cafe au lait?,,yuno_2_5_026,,"Here, this game you like to play. What was it called again... The Picture of Cafe au Lait?",
,,,,,,,,yuma,เดี๋ยวก่อน ไปเอามาจากไหน,,,,"Wait, where did you get that?!",
,,,,,,smile4,,yuno,ห้องนอนพี่ไง,,yuno_2_5_027,,"From your room, duh.",
,,,,,,,,yuma,แล้วยูโนะหาเจอได้ยังไง,,,,And how did you find it?,
,,,,,,smug3_2,,yuno,เมื่อวานพี่เป็นคนบอกเองว่าแอบเกมโป๊ไว้ที่ตู้หนังสือด้านใน หลังตำราแคลคูลัส จำได้หรือเปล่า,,yuno_2_5_028,,You told me yesterday that you hid your porn games on the inner shelf behind the calculus textbook. Don't you remember?,
,,,,,,,,yuma,หมดกัน คอลเลคชั่นของฉันน,,,,I'm ruined. My collection...,
,,,,,,smug_2,,yuno,หนูรู้ทุกเรื่องเกี่ยวกับพี่ ไม่ต้องห่วง แต่พักเรื่องนั้นไว้ก่อน ระหว่างรอพี่กลับบ้านหนูก็เล่นเกมนี้จบแล้ว,,yuno_2_5_029,,"I know everything about you, don't worry. But let's put that aside for now. While waiting for you to come home, I already finished playing this game.",
cafe_au_lait,,,,hide yuno_c,,,,yuno,เดอะพิกเจอร์ออฟคาเฟ่โอเล่ ในเกมนี้พระเอกกำลังวาดรูปสำหรับส่งประกวด แต่จู่ๆ เด็กสาวรุ่นน้องวิ่งมาชนและเผลอทำกาแฟหกใส่รูปที่พระเอกวาด การพบพานครั้งนี้ก่อกำเนิดฟักฟูมเป็นความรัก,,yuno_2_5_030,,"In The Picture of Cafe au Lait, the protagonist is painting for a contest, but suddenly a younger girl bumps into him and accidentally spills coffee on his painting. This fated encounter blossoms into love.",
,,,,,,,,yuno,......และในตอนท้ายทั้งสองคนก็มีความสัมพันธ์แนบแน่นชิดกาย,,yuno_2_5_031,,"...And in the end, the two of them engage in some intimate skinship.",
,,,,,,,,yuma,เล่นเวอร์ชั่น all ages สิ!,,,,Play the all-ages version!,
home_livingroom_night,,,,yuno_c,,teehee,,yuno,เทะเฮะ~☆,,yuno_2_5_032,,Teehee☆,
,,,,,,,,yuma,ไม่ต้องมา ‘เทะเฮะ’ เลย,,,,Don't you 'teehee' me!,
,,,,,,serious,,yuno,ช่างเถอะ สิ่งที่หนูจะบอกก็คือพี่ลองทำแบบพระเอกเกมนี้ดูสิ ได้แฟนเป็นรุ่นน้องก็ไม่เลวนะ,,yuno_2_5_033,,"Anyway, what I'm saying is, why don't you try doing what the game protagonist did? Getting a younger girlfriend wouldn't be so bad.",
,,,,,,,,yuma,พี่วาดรูปไม่เป็น จะไปหาเด็กสาวรุ่นน้องมาจากไหน,,,,I can't paint. Where am I supposed to find a younger girl?,
,,,,,,smile,,yuno,พี่ก็แก้โจทย์คณิตศาสตร์ก็ได้ ขณะกำลังพิสูจน์ทฤษฎีบทสุดท้ายของแฟร์มา จู่ๆ ก็มีสาวน้อยปริศนาวิ่งชนและเผลอทำกาแฟหกใส่กระดาษทด,,yuno_2_5_034,,"You could solve math problems then. While proving Fermat's Last Theorem, suddenly a mysterious young girl bumps into you and spills coffee on your scratch paper.",
,,,,,,,,yuma,ไอเดียบรรเจิดนี่ น่าจะเอาไปบอกค่ายเกมให้ทำเป็นเกมภาค 2,,,,Brilliant idea! You should pitch that to the game company for a sequel.,
,,,,,,angry_2,,yuno,ไม่ได้ สิ้นคิดเกินไป เดี๋ยวก็ถูกผู้เล่นด่าว่าเอาของเก่ามารีไซเคิลหรอก,,yuno_2_5_035,,"No way, too derivative. Players would complain we're just recycling old content.",
,,,,,,confident_2,,yuno,บางครั้งไอเดียดีๆ ก็เกิดจากเรื่องไม่คาดฝัน ไอสไตน์ยังนั่งคิดทฤษฎีแรงโน้มถ่วงได้จากการนั่งใต้ต้นแอปเปิ้ล,,yuno_2_5_036,,Sometimes great ideas come from unexpected places. Even Einstein came up with the theory of gravity while sitting under an apple tree.,
,,,,,,,,yuma,นั่นมันไอแซก นิวตัน,,,,That was Isaac Newton.,
,,,,,,smile_2,,yuno,จริงด้วย ไอสไตน์เป็นคนประดิษฐ์หลอดไฟนี่นา,,yuno_2_5_037,,"Oh right, Einstein was the one who invented the light bulb.",
,,,,,,normal_2,,yuma,ยูโนะ อย่าเชื่อทุกสิ่งทุกอย่างที่เขียนบนอินเทอร์เน็ตสิ,,,,"Yuno, don't believe everything you read on the internet.",
,,,,,,,,,บางครั้งน้องสาวของผมเชื่อว่า meme หรือข่าวแปลกๆ เป็นเรื่องจริง,,,,Sometimes my little sister believes memes or weird news stories are real.,
,,,,,,,,,ทั้งๆ ที่ปัจจุบันคนเราสามารถเข้าถึงข้อมูลต่างๆ ได้มากขึ้นแต่ก็มีคนไม่น้อยที่มักจะไปหลงเชื่อว่าข่าวปลอมเป็นเรื่องจริง,,,,"Even though people have greater access to information nowadays, quite a few still end up believing fake news is real.",
,,,,,,smile3,,yuno,ช่างเถอะ เอาเป็นว่าพี่ก็ลองหาวิธีดูนะ หนูเชื่อว่าพี่ทำได้แน่นอน,,yuno_2_5_038,,"Whatever. Anyway, I'll see what I can do. I'm sure you can figure it out.",
,,,,,,,,yuma,จะลองดู แต่ไม่รับปากว่าจะทำได้หรอกนะ,,,,"I'll try, but no promises that I can pull it off.",
,,,1,,,yasashi,,yuno,ขอร้องนะพี่จ๋า นะ นะ นะ~,,yuno_2_5_039,,"Please, big brother? Please please please",
,,,,,,,,,พอถูกยูโนะอ้อนแบบนี้ผมไม่เคยปฎิเสธได้เลยซักที ให้ตายเถอะ,,,,"When Yuno begs me like this, I can never refuse. Dammit.",
,,,,,,,,yuma,ก็ได้ พี่จะลองคิดดูแล้วกัน,,,,"Alright, I'll think of something.",
,,,,,,fun,,yuno,เย้ ดีใจจัง รักพี่ที่สุดเลย,,yuno_2_5_040,,"Yay, I'm so happy! I love you the most!",
,,,,,,,,,พอพูดจบ ยูโนะก็กระโดดกอดผมด้วยความดีใจอย่างยิ่ง,,,,"Finishing her sentence, Yuno jumped up and hugged me tightly with pure joy.",
,,,,,,,,,,,,,,
,,,,hide yuno_c,,,,,………,,,,.......,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ทำฉากดำ
home_yuumabedroom_night,,MusMus-BGM-127,,,,,,,ตอนนี้มีกิจกรรมแจกตุ๊กตาสำหรับคู่รักหนุ่มสาวที่เข้าร่วมกิจกรรม,,,,"To summarize, there's currently an event giving out plush toys to young couples who participate.",
,,,,,,,,,ถ้ายูโนะสภาพร่างกายแข็งแรงตามปกติและออกจากบ้านได้,,,,"If Yuno was healthy as usual and could go out,",
,,,,,,,,,พวกเราสองคนแกล้งปลอมตัวติ๊ต่างเป็นคู่รักต่างวัยได้,,,,the two of us could pretend to be a couple with an age gap.,
,,,,,,,,,แต่เมื่อไม่มียูโนะแบบนี้ ผมจะไปหาแฟนสาวมาจากไหนกันล่ะเนี่ย,,,,"But without Yuno, where am I supposed to find a girlfriend?",
,,,,,,,,yuma,ถ้าลองขอร้องเรกะจะเป็นยังไงกันนะ,,,,I wonder what would happen if I tried asking Rega.,
,,MusMus-BGM-029,,,,,,,,,,,,
imagine,,,,,,,,,...,,,dream,,
,,,1,reika,,angry_2,,reika,หา? ฉันเนี่ยนะเป็นแฟนของนาย,,reika_2_5_001,,"Huh? Me, be your girlfriend?",
,,,,,,,,reika,นายนี่ติดเกมมากเกินไปแล้วหรือเปล่า,,reika_2_5_002,,Have you gotten too addicted to games or what?,
,,,,,,,,reika,อยากได้ตุ๊กตาเหรอ?,,reika_2_5_003,,You want a doll that badly?,
,,,,hide reika,,sadistic_2_s,,reika,หึหึหึ ฉันจะทำให้นายนอนนิ่งเป็นตุ๊กตาของฉันเอง อย่าหนีเชียวล่ะ,,reika_2_5_004,,"Hehehe, I'll turn you into a lifeless doll for myself. Don't you run away now.",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
home_yuumabedroom_night,,MusMus-BGM-127,,,,,,,ไม่ดีๆ ไม่เข้าท่าอย่างแรง เรกะไม่มีทางมาด้วยกันกับเราหรอกมั้ง,,,,"No good, that's way off. There's no way Rega would go along with this.",
,,,,,,,,,จริงสิ ยูโนะบอกว่าบางครั้งไอเดียก็เกิดจากเรื่องไม่คาดฝัน…?,,,,"That's right, Yuno said sometimes ideas come from unexpected places...?",
,,,,,,,,,ใจเย็นก่อนยูมะ สงบใจเข้าไว้,,,,"Calm down Yuma, keep your cool.",
,,,,,,,,,การนับเลขทำให้จิตใจสงบได้ 1.73205080,,,,Counting helps settle the mind. 1.73205080...,
,,,,,,,,,เท่าที่นึกออก ผู้หญิงที่เรารู้จักก็มีแค่อากาเนะกับรุ่นพี่มายะ,,,,"As far as girls I know, there's only Akane and Sempai Maya.",
,,,,,,,,,จริงสิ รุ่นพี่มายะไง,,,,"That's it, Sempai Maya!",
,,,,,,,,,เรายังมี ‘ไอนั่น’อยู่นี่นา,,,,"We still have ""that"" option too...",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,….,,,,...,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ตัดฉากดำ
,,,,,,,,,,,,,,[Sprite - เรกะในชุดนอน]
twroom002n_19201080,reika_pov,MusMus-BGM-097,1,reika_p,,normal,,,หลังจากที่อาบน้ำเสร็จ ฉันก็คุยกับ ‘พีสุเกะ’ ตุ๊กตากระต่ายตัวโปรดของฉัน,,,,"After taking a bath, I chatted with Piske, my favorite stuffed rabbit.",
,,,,,,,,,สำหรับคนอื่นอาจจะเป็นแค่ตุ๊กตากระต่าย,,,,"To others it may just be a stuffed rabbit,",
,,,,,,,,,แต่สำหรับฉัน พีสุเกะเป็นเพื่อนรักร่วมทุกข์ร่วมสุขที่ไม่มีสิ่งใดมาแทนที่ได้,,,,"but to me, Piske is an irreplaceable friend through thick and thin.",
,,,,,,,,,,,,,,
,,,,,,smile_2,,reika,นี่ พีสุเกะ รู้หรือเปล่า วันนี้ยูมะยืนรอกลับบ้านพร้อมฉันด้วย,,reika_2_5_005,,"Hey Piske, did you know? Today Yuma waited to walk home with me.",
,,,,,,fin_2,,reika,ยูมะบอกว่าจะไม่มีวันปล่อยให้ผู้หญิงที่ทั้งสวยทั้งน่ารักแบบฉันเดินกลับบ้านคนเดียวตอนกลางคืนได้ล่ะ,,reika_2_5_006,,"Yuma said he would never let a beautiful, cute girl like me walk home alone at night.",
,,,,,,,,,ถึงคำว่า ‘ผู้หญิงที่ทั้งสวยทั้งน่ารัก’ ฉันเติมเพิ่มมาเองก็เถอะ,,,,"I may have added the ""beautiful and cute"" part myself,",
,,,,,,,,,แต่ฉันมั่นใจว่ายูมะต้องคิดแบบนี้แน่ๆ,,,,but I'm sure that's what Yuma was thinking.,
,,,,,,fun_2,,reika,ระหว่างกลับบ้าน ยูมะบอกว่าจำเรื่องของพีสุเกะได้ด้วยนะ,,reika_2_5_007,,"On the way home, Yuma said he still remembers you too, Piske.",
,,,,,,angry_2,,reika,แต่ว่าตอนนี้ต่อให้ไม่มีพีสุเกะ ฉันก็นอนด้วยตัวคนเดียวได้,,reika_2_5_008,,"But now, even without you, I can sleep by myself.",
,,,,,,,,reika,ฉันไม่ใช่เด็กที่คุยและนอนกับตุ๊กตาสักหน่อย,,reika_2_5_009,,I'm not a child who talks to stuffed animals anymore.,
,,,,,,,,reika,......,,reika_2_5_010,,...,
,,,,hide reika_p,,pout3_2,,reika,แต่คืนนี้ขอนอนกอดพีสุเกะสักหน่อย คงไม่เป็นอะไรนะ,,reika_2_5_011,,"But just for tonight, it's okay to cuddle with you, right Piske?",
black,,,,,,,,,หลังจากนั้นฉันก็นอนกอดพีสุเกะ และฝันถึงผู้ชายคนหนึ่งที่หน้าตาเหมือนยูมะ…,,,,"After that, I slept hugging Piske, dreaming of a boy who looked just like Yuma...",
,hide reika_pov,,,,,,,,,,,,,
