bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en
,,,,,,,,yuma,ว่าแต่ทำไมรูปถ่ายถึงแตกต่างจากตัวจริงได้ขนาดนี้เนี่ย แปลกชะมัด,,,,But why is the photo so different from her actual appearance? It's really strange.
,,,,,,,,yuma,อย่าบอกนะว่า… จะเป็นสายลับปลอมตัวมาสืบคดีหาคนร้าย,,,,Don't tell me... Could she be an undercover agent investigating a case?
,,,,,,,,yuma,ไม่สิ ดูหนังเยอะเกินไปแล้ว,,,,"No, I've been watching too many movies. Calm down, Yuma. Take a deep breath."
,,,,,,,,,ใจเย็นก่อนยูมะ สงบใจเข้าไว้,,,,Counting numbers can help calm the mind.
,,,,,,,,,"การนับเลขทำให้จิตใจสงบได้ 2, 3, 5, 7, 11, 13, 17, 19, 23!",,,,"2, 3, 5, 7, 11, 13, 17, 19, 23!"
,,,,,,,,,ลองนึกถึงความเป็นไปได้ การที่รูปในบัตรนักเรียนแตกต่างจากตัวจริงมีอยู่ไม่กี่สาเหตุ,,,,Let's think about the possibilities. There are only a few reasons why a student ID photo might be different from the actual person.
,,,,,,,,yuma,หรือว่า… ผู้ชายที่ปลอมตัวเป็นหญิงเพื่อเข้าเรียนในโรงเรียนหญิงล้วน!,,,,Or maybe... a boy disguising himself as a girl to attend an all-girls school!
,,,,,,,,yuma,เป็นไปไม่ได้ โรงเรียนเอกชนซิลเวอร์ซีลเป็นโรงเรียนสห ไม่ใช่โรงเรียนหญิงล้วนสักหน่อย,,,,"That's impossible. Silver Seal Private School is co-ed, not an all-girls school."
,,,,,,,,yuma,คงไม่มีเหตุการณ์ชายแต่งหญิงแบบในเกมวิชวลโนเวลที่เคยเล่นหรอกมั้ง,,,,There's no way we'd have a boy-dressing-as-girl scenario like in those visual novel games I've played.
,,,,,,,,,ไม่ว่าจะมองจากมุมไหน รูปในบัตรนักเรียนนี้มัน… ไม่ตรงปกเลยสักนิด,,,,"No matter how you look at it, this student ID photo... It doesn't match at all."
,,,,,,,,,น่าสงสัย น่าสงสัยจริงๆ,,,,"Suspicious, very suspicious indeed."
,,,,,,,,,ต่อมอยากรู้อยากเห็นของผมเริ่มทำงานแล้วสิ,,,,My curiosity is starting to get the better of me.
,,,,,,,,,เอาไว้โอกาสหน้าลองถามรุ่นพี่มายะตรงๆ เลยดีกว่า,,,,I'll try asking Senior Maya directly next time I get the chance.
