bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,
,,MusMus-BGM-139,,,,,,,ขณะนี้เป็นวิชาชีววิทยา นักเรียนในห้องตั้งใจจดบันทึกอย่างขะมักเขม้น,,,,
,,,,,,normal,,risa,เกสรเพศผู้ทำหน้าที่สร้างเซลล์สืบพันธุ์เพศผู้,,risa_1_3_002,,
,,,,,,,,risa,ซึ่งเกสรเพศผู้แต่ละอันประกอบด้วยอับเกสรตัวผู้บรรจุละอองเรณู และก้านชูอับเรณู,,risa_1_3_003,,
,,,,hide risa,,ah,,risa,ส่วนเกสรเพศเมียแต่ละอันประกอบด้วยรังไข่ ก้านเกสรเพศเมีย……..,,risa_1_3_004,,
school_classroom_noon,,,,,,,,,สำหรับผมที่ถนัดวิชาคำนวณมากกว่าท่องจำ ศัตรูตัวฉกาจอย่างความง่วงเข้าจู่โจมผม,,,,
,,,,,,,,yuma,ไม่ไหวๆ ง่วงชะมัด,,,,
,,,,,,,,yuma,ให้ตายเถอะ เป็นเพราะเมื่อเช้าฝันอะไรแปลกๆ เลยนอนหลับไม่เต็มอิ่มเลย,,,,
,,,,,,,,,ขณะที่เงี่ยหูฟังคุณครูริสะสอนเรื่องพืช ผมก็อดคิดไม่ได้ว่าคนเราจะศึกษาเรื่องพืชไปทำไม,,,,
,,,,,,,,,สนใจแค่ว่าพืชชนิดไหนกินได้หรือไม่ได้ก็พอแล้ว,,,,
,,,,,,,,,แล้วการสืบพันธุ์เรื่องพืชเนี่ยเข้าใจยากชะมัด ไม่เร้าใจเหมือนเว็บสีดำส้มเลย,,,,
,,,,,,,,,เสียงคุณครูริสะเหมือน ASMR ที่เอาไว้ฟังก่อนนอน ขณะที่ผมกำลังเคลิบเคลิ้ม ทันใดนั้น,,,,
,,,,,,,,yuma,โอ๊ย!,,,,
,,,,,,,,,จู่ๆ ผมก็ถูกหยิกเข้าที่เอวอย่างรุนแรง,,,,
,,,,,,,,,ความเจ็บปวดที่ไม่ทันตั้งตัวนี้ ทำให้ความง่วงของผมหายเป็นปลิดทิ้ง,,,,
,,,1,,,angry_2,,reika,ยูมะ ตั้งใจเรียนหน่อย,,reika_1_3_015,,
,,,,,,,,yuma,เมื่อคืนเธอทำให้ฉันนอนหลับไม่เต็มอิ่ม ตอนกลางวันยังตามมาขัดขวางอีก,,,,
,,,,,,hee,,reika,พูดอะไรของนาย ไม่เห็นเข้าใจเลย เมื่อคืนฉันไม่ได้ยุ่งกับนายเลยสักนิด,,reika_1_3_016,,
,,,,,,angry,,reika,อีกอย่าง หัดทำตัวให้สมกับสมาชิกสภานักเรียนหน่อย,,reika_1_3_017,,
,,,,,,,,reika,อย่าลืมนะว่าคุณครูริสะก็เป็นที่ปรึกษาให้กับสภานักเรียนด้วย,,reika_1_3_018,,
,,,,,,,,yuma,สมาชิกสภานักเรียนก็ง่วงเป็นเหมือนกันนะ,,,,
,,,,,,,,yuma,ช่วยไม่ได้ ถ้างั้นเดี๋ยวฉันเเอบงีบคาบต่อไปแทนก็แล้วกัน,,,,
,,,,,,angry2_2,,reika,ไม่ได้!,,reika_1_3_019,,
,,,,,,,,yuma,แล้วฉันจะต้องแอบหลับคาบไหนละเนี่ย,,,,
,,,,,,angry_2,,reika,นายก็อดทนไปนอนตอนพักกลางวันสิ จะมาหลับตอนเรียนได้ไงกัน,,reika_1_3_020,,
,,,,hide reika,,,,yuma,แบบนั้นฉันก็อดกินข้าวน่ะสิ,,,,
,,,0,,,,,,ในขณะที่ผมกำลังโต้เถียงกับเรกะ คุณครูริสะก็เดินเข้ามา,,,,
,,MusMus-BGM-115,,risa,,angry,,risa,นี่ พวกเธอคุยอะไรกัน,,risa_1_3_005,,
,,,,hide risa,,,,yuma,ไม่ได้คุยนะครับ,,,,
,,,1,reika,,chito,,reika,จริง นายหลับสบายใจเฉิบ จะคุยได้อย่างไร,,reika_1_3_021,,
,,,,hide reika,,,,yuma,ยังไม่ได้หลับสักหน่อย,,,,
,,,0,risa,,serious,,risa,ไม่ต้องเถียงกันแล้ว ถ้างั้นไหนคุซากะลองตอบคำถามข้อต่อไปหน่อยสิ,,risa_1_3_006,,
,,,,hide risa,,,,yuma,เอ๊ะ อะ ครับ,,,,
,,,,,,,,,แย่แล้ว ข้อต่อไปนี่มันข้อไหนล่ะเนี่ย เมื่อกี้กำลังจะหลับ,,,,
,,,1,reika,,angry3,,yuma,เรกะ เฮลป์มีพลีส,,,,
,,,,hide reika,,,,,ผมส่งสายตาขอความช่วยเหลือ แต่เรกะเบือนหน้านี้ ทำหน้าไม่รู้ไม่ชี้,,,,
,,,0,,,,,,ขืนบอกไปตรงๆ ว่าเมื่อกี้หลับอยู่คงไม่ดีแน่ ลองเดาดีกว่า โอกาสตอบถูกคือ 1 ใน 4,,,,
,,,,,,,,yuma,ตอบช้อยส์ 2 ครับ,,,,
,,,1,reika,,bored_2,,,ทันทีที่ผมตอบ นักเรียนทั้งห้องก็หัวเราะ เรกะที่นั่งข้างๆ หันมามองด้วยสีหน้าเย้ยหยัน,,,時代劇演出1,
,,,,hide reika,,,,,ทำไมล่ะ ผมเดาผิดงั้นเหรอ?,,,,
,,,0,risa,,angry,,risa,ช้อย 2 อะไรของเธอ นี่มันเป็นแบบฝึกหัดเติมคำ,,risa_1_3_007,,
,,,,,,,,risa,แสดงว่าเมื่อกี้ไม่ได้ฟังที่ครูสอนเลยสินะ ดังนั้นคุณคุซากะ เธอทำรายงานสรุปบทเรียนวันนี้มาส่งครูภายในวันพรุ่งนี้ด้วย,,risa_1_3_008,,
,,,,hide risa,,,,yuma,เข้าใจแล้วครับ…,,,,
,,,1,reika,,cold_2,,reika,สมน้ำหน้า ทีนี้ก็ตั้งใจทำรายงานซะด้วยล่ะ,,reika_1_3_022,,
,,,,hide reika,,,,,ฝากไว้ก่อนเถอะเรกะ,,,,
