bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,
,,,,reika_c,yuno_c,ah,,reika,การสอนของยูมะมันห่วยขนาดนั้นเลยหรอ,,reika_2_10_004,,Is Yuma's teaching that bad?,
,,,,,,gambatte,,yuno,ใช่ พี่ยูมะน่ะสิ สอนอะไรก็ไม่รู้ ไม่เห็นเข้าใจเลย,,yuno_2_10_004,,"Yes, my brother, I don't know what he was teaching. I didn't understand at all.",
,,,,,,serious_2,,reika,ไม่จริงหรอกนะ ยูโนะเองก็รู้ไม่ใช่เหรอว่ายูมะตั้งใจมากแค่ไหน,,reika_2_10_005,,"That's not true. You know how hard Yuma tries, don't you, Yuno?",
,,,,,,ah_2,,reika,การที่ยูมะสอนไม่เข้าใจ ไม่ใช่เพราะยูโนะไม่เก่งหรอก แต่เป็นเพราะหมอนั่นไม่รู้ว่าจะถ่ายทอดให้คนอื่นเข้าใจเนื้อหายังไงต่างหาก,,reika_2_10_006,,"The reason Yuma's teaching isn't understandable isn't because you're not smart, but because he doesn't know how to convey the content to make others understand.",
,,,,,,onegai_2,,yuno,แล้วพี่เรกะรู้ได้ยังไงว่าพี่ตั้งใจสอนแล้ว,,yuno_2_10_005,,How do you know my brother tried hard to teach?,
,,,,,,smile,,reika,เมื่อก่อนพี่เคยให้ยูมะช่วยสอนเหมือนกัน เห็นแบบนั้นแต่หมอนั่นก็ตั้งใจสอนสุดๆ จนน่าขนลุกเลยนะ,,reika_2_10_007,,"Before, I had Yuma help me with tutoring too. Seeing that, that guy tried his hardest to teach, it was even a bit creepy.",
,,,,,,worry,,yuno,เห้อ แบบนั้นก็สมเป็นพี่อยู่หรอก…,,yuno_2_10_006,,"Sigh, that's just like him...",
,,,,,,smile_2,,reika,ไหนๆก็ไหนๆแล้ว ถ้าอยากรู้ว่าหมอนั้นตั้งใจแค่ไหนล่ะก็ไปแอบดูกันหน่อยไหมล่ะ?,,reika_2_10_008,,"Since we're here anyway, if you want to know how hard that guy tried, why don't we go take a peek?",
,,,,,,,,,ถ้าเกิดว่าเข้าไปในห้องของหมอนั่นจะต้องได้เห็นแน่ๆ,,,,"If we go into his room, we're sure to see it.",
,,,,,,,,,ขอโทษนะ ยูมะ ขอเสียมารยาทล่วงหน้านะ,,,,"I'm sorry, Yuma. Please forgive our rudeness in advance.",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,[Background - Protagonist's bedroom],
home_yuumabedroom_morning,pov_reika,MusMus-BGM-097,,,,,,,ฉันถือวิสาสะเข้าไปในห้องของยูมะ,,,door,I took the liberty of entering Yuma's room.,
,,,,,,,,,เมื่อมองไปรอบข้างก็พบกับสิ่งของที่ต้องการ,,,,"Looking around, I found what I was looking for.",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,"[If possible, show an SD image of books scattered all over the desk]",
,,,,reika_c,,ah,,reika,เห็นมั้ย มีหนังสืออ้างอิงเต็มไปหมด,,reika_2_10_009,,See? There are reference books everywhere.,
,,,,,,,,,บนโต๊ะของยูมะเต็มไปด้วยกองเอกสารและหนังสืออ้างอิงเรียงรายเต็มไปหมด,,,,Yuma's desk is full of stacks of documents and reference books spread out all over.,
,,,,,,smile,,reika,ถึงยูมะเป็นคนที่ชอบตื่นสายและเฉื่อยชาอยู่บ้าง แต่ถ้าตั้งใจทำอะไรก็จะทุ่มเทจนถึงที่สุด,,reika_2_10_010,,"Even though Yuma likes to sleep in and can be lazy at times, when he sets his mind to something, he gives it his all.",
,,,,hide reika_c,,,,,ยูมะเองก็มีส่วนที่พยายามโดยที่ไม่มีใครมองเห็น,,,,Yuma has parts of him that try hard without anyone seeing.,
,,,,yuno_c,,confident2,,yuno,ใช่แล้ว เพราะพี่เป็นพี่ชายของหนูนี่นา ถึงจะเอื่อยเฉื่อยและชอบตื่นสาย แต่ก็เท่เหมือนกันนะ,,yuno_2_10_007,,"That's right, because he's my brother. Even if he's lazy and likes to sleep in, he's still cool in his own way.",
,,,,hide yuno_c,,,,,สุดยอดไปเลย ขนาดทะเลาะกันอยู่ก็ยังเอ่ยปากชมได้อีก,,,,"Amazing, even while fighting, you can still compliment him.",
,,,,,,,,,นี่สินะที่เขาเรียกว่าสายสัมพันธ์ของพี่น้อง,,,,This must be what they call the bond between siblings.,
,,,,,,,,,,,,,,
,,,,,,,,,ฉันชี้กระดาษทดที่เรียงระเกะระกะอยู่บนโต๊ะของยูมะ,,,,I point to the scattered scratch paper on Yuma's desk.,
,,,,reika_c,,ah_2,,reika,นี่ไง ดูเหมือนว่าหมอนั่นพยายามคิดวิธีการสอนแบบใหม่เพื่อยูโนะโดยเฉพาะเลยนะ,,reika_2_10_011,,"Look, it seems that guy was trying to come up with a new teaching method specifically for Yuno.",
,,,,yuno_c,,sad_2,,yuno,ทะ… ทั้งๆ ที่ทะเลาะกันอยู่ แต่พี่ก็พยายามเพื่อหนูมากขนาดนี้,,yuno_2_10_008,,"E-Even though we were fighting, my brother tried this hard for me...",
,,,,,,crymeme,,,ยูโนะพูดด้วยเสียงสั่นเทา หยดน้ำไหลออกมาที่แก้มของยูโนะ,,,,"Yuno spoke with a trembling voice, tears flowing down her cheeks.",
,,,,,,,,,ยูมะ นายเป็นห่วงน้องสาวมากขนาดนี้เลยเหรอ,,,,"Yuma, do you care this much about your little sister?",
,,,,,,,,,,,,,,
,,,,,,,,,ทันใดนั้น ยูโนะสังเกตเห็นรูปวาดที่วางอยู่บนโต๊ะของยูมะ,,,,"Suddenly, Yuno noticed a drawing placed on Yuma's desk.",
,,,,,,ah_2,,yuno,เอ๋ พี่ยังเก็บรูปนี้ไว้อยู่เหรอ,,yuno_2_10_009,,Eh? Big brother still keeps this picture?,
,,,,hide yuno_c,,,,,,,,,,
,,,,,,,,,,,,,----- Flashback -----,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,[Childhood flashback],
,pov_yuno,,,,,,,,,,,,----- POV YUNO -----,ใส่ pov ตรงสีเหลืองให้หมดเลย
sunset1,old,MusMus-BGM-105a,,,,,,,ตอนนั้นฉันยังเป็นเด็กน้อยอายุเพียงแค่ 6 ขวบ,,,,"At that time, I was just a little girl, only 6 years old.",
,,,,,,,,yuma,นี่ ยูโนะได้รางวัลประกวดวาดรูปมาสินะ ถ้างั้นวาดรูปพี่ให้หน่อยสิ,,,,"Hey, Yuno got a prize in the drawing contest, right? Then draw a picture of me.",
,,,,,,,,yuno,ได้สิ เดี๋ยวหนูจะวาดรูปพี่ให้เอง,,yuno_2_10_010,,"Okay, I'll draw a picture of you.",
,,,,,,,,yuma,ดีเลย พี่คิดท่าโพสหล่อๆ ไว้เพียบ,,,,"Great, I've thought of lots of cool poses.",
,,,,,,,,yuno,คุณแม่บอกว่าถ้าอยากวาดผู้ชายให้หล่อเหลา จะต้องวาดให้ตาเรียว คางแหลม,,yuno_2_10_011,,"Mom said if you want to draw a handsome man, you have to draw slanted eyes and a pointed chin.",
,,,,,,,,yuno,ดีล่ะ หนูจะวาดพี่ชายให้ออกมาหล่อที่สุดในโลกเลย,,yuno_2_10_012,,"Alright, I'll draw my big brother to be the most handsome in the world!",
,yuno_draw01,,,,,,,yuno,เรียบร้อย! เสร็จแย้วว,,yuno_2_10_013,,Done! It's finished!,
,,,,,,,,,ถึงจะชอบวาดรูป แต่ว่าด้วยความที่ยังเป็นเด็กฉันก็เลยวาดออกมาได้ไม่สวยเลยซักนิด,,,,"Even though I liked drawing, being a child, I couldn't draw very well at all.",
,,,,,,,,,ถ้าเกิดตอนนี้ฉันมองย้อนกลับไปคงคิดว่านี่มันไม่ใช่คนแล้วด้วยซ้ำ คนที่ไหนจะคางแหลมขนาดนั้นกัน,,,,"If I looked back at it now, I'd probably think it doesn't even look human. Who has a chin that pointed?",
,,,,,,,,,แต่ฉันก็เอามันให้พี่ชายดูด้วยความมั่นใจ,,,,But I showed it to my big brother with confidence.,
,,,,,,,,yuma,ว้าวหล่อสุดๆไปเลย คางแหลมเฟี้ยว,,,,"Wow, super handsome! The pointed chin is so cool!",
,yuno_draw02,,,,,,,yuno,จริงหรอๆ ดีใจจังเลย,,yuno_2_10_014,,Really? I'm so happy!,
,,,,,,,,,ตัวฉันในตอนนั้นดีใจมากที่ได้รับคำชมจากพี่ ถึงจะไม่รู้ว่าพี่พูดจริงหรือไม่แต่เพียงแค่นั้นก็ทำให้ฉันมีความสุขแล้ว,,,,"The me back then was so happy to be praised by my brother. Even if I didn't know if he was telling the truth, just that was enough to make me happy.",
,,,,,,,,yuma,แล้วยูโนะอยู่ตรงไหนเหรอ วาดตัวเองลงไปด้วยสิ,,,,Where's Yuno? Draw yourself in it too.,
,,,,,,,,yuno,อื้อ! พี่อยู่ตรงนี้… ส่วนหนูยืนอยู่ข้างๆ พี่ตรงนี้…,,yuno_2_10_015,,Okay! Big brother is here... and I'm standing next to big brother here...,
,yuno_draw04,,,,,,,yuno,เสร็จแล้ว! น่ารักใช่มั้ยล่ะ,,yuno_2_10_016,,Finished! Isn't it cute?,
,,,,,,,,yuma,น่ารักสุดๆ ไปเลย สมแล้วที่เป็นน้องสาวของพี่,,,,It's super cute. As expected of my little sister.,
,,,,,,,,,พี่ชายเป็นคนที่ใจดีแล้วก็อ่อนโยนมากๆ พอได้สัมผัสแล้วทำให้ฉันรู้สึกว่าดีจังเลยที่มีคนๆนี้เป็นพี่ชาย,,,,"My big brother was so kind and gentle. When I felt his touch, it made me feel how great it was to have this person as my big brother.",
,yuno_draw06,,,,,,,,ในขณะที่ฉันมัวแต่ดีใจอยู่พี่ชายก็ได้หยิบสีมาวาดเพิ่มเข้าไปในรูป,,,,"While I was feeling happy, my big brother picked up a color and added something to the picture.",
,,,,,,,,yuma,ใส่หัวใจเข้าไปด้วยสิ จะได้รู้ไงล่ะว่าพวกเราเป็นครอบครัวเดียวกัน,,,,Let's add a heart too. So we know we're family.,
,,,,,,,,yuno,หนูยกรูปนี้ให้พี่เป็นของขวัญ,,yuno_2_10_017,,"I'll give this picture to you as a gift, big brother.",
,,,,,,,,yuma,ขอบคุณนะยูโนะ พี่จะเก็บไว้อย่างดีเลย,,,,"Thank you, Yuno. I'll take good care of it.",
sunset1,old,,,,,,,,ถึงตอนนั้นจะไม่รู้ว่าทำไมพี่ถึงต้องวาดรูปหัวใจด้วยแต่ตอนนั้นก็เป็นความทรงจำที่ดีจริงๆ,,,,"At that time, I didn't understand why he needed to draw a heart, but it became a really good memory.",
,,,,,,,,,ตอนนั้นฉันได้พยายามหลายสิ่งหลายอย่างเพื่อที่จะได้รับคำชมจากพี่,,,,"Back then, I tried many things to get praise from my brother.",
,,,,,,,,,พอคิดดูแล้วจัวฉันเองก็อาจจต้องการที่จะได้เป็นคนพิเศษของใครซักคนก็ได้…,,,,"Thinking about it now, maybe I just wanted to be someone special to someone...",
,,,,,,,,,พอคิดถึงตอนนั้นแล้วน้ำตามันก็ไหลออกมาไม่หยุด,,,,"Thinking about that time, tears started flowing non-stop.",
,,,,,,,,,พี่ยังเก็บรูปเด็กชายคางแหลมกับเด็กหญิงตาโตเอาไว้อีกหรอเนี่ย ซิสค่อนเอ้ย,,,,"You still keep this picture of the pointy-chinned boy and big-eyed girl, you siscon!",
,hide pov_yuno,,,,,,,,,,,,,
,,,,,,,,,,,,,,ตรงนี้ใส่ pov reika หมดเลยสีม่วง
home_yuumabedroom_morning,shimai,MusMus-BGM-105,,,,,,,พอยูโนะได้เห็นรูปแล้วก็น้ำตาไหลลงมา ดูเหมือนรูปนั้นจะเป็นรูปที่มีความหมายสำหรับทั้งสองคนอย่างนั้นสินะ,,,,"When Yuno saw the picture, tears started flowing down. It seems that picture had a special meaning for both of them.",
,,,,,,,,,ฉันจึงค่อยๆเอามือไปลูบหลังยูโนะ พอได้ทำแบบนี้แล้วรู้สึกเหมือนตัวเองเป็นพี่สาวขึ้นมาเลยนะ,,,,So I gently patted Yuno's back. Doing this made me feel like I was really being a big sister.,
,,,,,,,,,สักพักหนึ่งหลังจากที่หยุดร้องไห้ ยูโนะพูดขึ้นมาว่า,,,,"After a while, when she stopped crying, Yuno said,",
,hide_shimai,,1,yuno_c,,onegai_2,,yuno,นี่…พี่เรกะคิดว่าหนูควรไปขอโทษพี่ไหม สุดท้ายก็เป็นตัวหนูเองสินะที่ไม่ตั้งใจเรียน,,yuno_2_10_018,,"Hey... Big sis Reika, do you think I should apologize to my brother? In the end, it was me who wasn't trying hard to study.",
,,,,hide yuno_c,,,,yuno,เพราะหนูโง่ ก็เลยทำให้พี่ต้องลำบากมากขนาดนี้,,yuno_2_10_019,,"Because I'm stupid, I made my brother go through so much trouble.",
,,,,reika_c,,yasashi_2,,reika,ไม่ใช่หรอกยูโนะ อย่าด้อยค่าตัวเองไปเลย และที่สำคัญ…,,reika_2_10_012,,"That's not true, Yuno. Don't put yourself down like that. And more importantly...",
,,,,hide reika_c,,smile_2,,reika,การทำตัวงี่เง่ากับพี่ชายแค่ไหนก็ได้น่ะ เป็นสิทธิพิเศษของน้องสาวนะ,,reika_2_10_013,,"Acting silly with your big brother as much as you want is a little sister's special privilege, you know.",
,,,,yuno_c,,ah_2,,yuno,สิทธิพิเศษของน้องสาว…,,yuno_2_10_020,,A little sister's special privilege...,
,,,,,,confident_2,,yuno,นั่นสินะ ถ้าอย่างงั้นจะยกโทษให้พี่ก็ได้!,,yuno_2_10_021,,"That's right. If that's the case, I'll forgive my brother!",
,,,,hide yuno_c,,,,,เอ๋? ว่าแต่จะไม่ขอโทษแล้วหรอ? ,,,,Eh? You're not going to apologize anymore?,
,,,,,,,,,ใช้สิทธิพิเศษของน้องสาวได้คุ้มชะมัดเลย,,,,You're really making the most of your little sister privilege.,
,,,,,,,,,เห็นแบบนี้ ฉันเองก็ชักจะอยากมีน้องสาวขึ้นมาบ้างซะแล้วสิ,,,,"Seeing this, I'm starting to wish I had a little sister too.",------- END REIKA POV -----------
,hide pov_reika,,,,,,,,,,,,,"[Scene change, back to protagonist's point of view]"
,,,,,,,,,,,,,,[Background - Front of the house]
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
sunset,,MusMus-BGM-162,,,,,,,ผมเดินกลับมาที่บ้าน ขณะที่กำลังคิดหาวิธีคืนดีกับยูโนะ,,,,"I walked back home, thinking of ways to reconcile with Yuno.",
,,,,,,,,,,,,,,yuno_p ชุดนอน
home_entrance_night,,,,,,,,yuma,กลับมาแล้ว,,,,I'm back.,
,,,0,yuno_p,,normal,,yuno,ยืนทำอะไรอยู่เนี่ย กลับมาแล้วก็รีบเข้ามาสิ,,yuno_2_10_022,,What are you standing there for? Come in quickly if you're back.,
,,,,,,,,yuma,วันนี้ไม่มี ‘เย้ ในที่สุดพี่ก็กลับมาแล้ว รอตั้งนาน ’ แล้วหรอ,,,,"No 'Yay, big brother is finally back, I've been waiting so long' today?",
,,,,,,serious_2,,yuno,ไม่มี! แล้วก็พี่ออกไปข้างนอกมาไหนล่ะของฝากสำหรับหนู,,yuno_2_10_023,,No! And where did you go outside? Where's my souvenir?,
,,,,,,,,yuma,นี่ไงพุดดิ้งสตรอว์เบอร์รีของโปรดยูโนะ,,,,"Here's your favorite strawberry pudding, Yuno.",
,,,,,,,,,ยูโนะรีบรับพุดดิ้งมาไว้ในมืออย่างรวดเร็ว,,,,Yuno quickly took the pudding into her hands.,
,,,,,,,,yuma,วันนี้ดูเหมือนจะเอาแต่ใจตัวเองเป็นพิเศษนะยูโนะ,,,,"You seem especially self-centered today, Yuno.",
,,,,,,,,yuno,ไม่ใช่ซักหน่อยนี่เป็นสิทธิพิเศษของน้องสาวต่างหาก,,yuno_2_10_024,,"Not at all, this is just a little sister's special privilege.",
,,,,,,angry_2,,yuma,สิทธิพิเศษของน้องสาว?,,,,A little sister's special privilege?,
,,,,,,normal_2,,,ดูเหมือนในขณะที่ผมไม่อยู่บ้านยูโนะจะอารมณ์ดีขึ้นด้วยสาเหตุที่ผมก็ไม่ทราบว่าคืออะไร,,,,"It seems that while I was away, Yuno's mood improved for reasons I don't know.",
,,,,,,,,,ถ้าอย่างงั้นลองอีกครั้งแล้วกัน,,,,"If that's the case, let's try again.",
,,,,,,,,yuma,นี่ยูโนะวันนี้เรามาลองอีกรอบกันดีไหม?,,,,"Hey Yuno, shall we give it another try today?",
,,,,hide yuno_p,,angry,,yuno,ก็ได้ แต่ว่าก่อนหน้านั้นต้องทำอะไรก่อน?,,yuno_2_10_025,,"Okay, but what do you need to do first?",
,,,,,,,,,ต้องทำอะไรก่อน นี่ยูโนะหมายถึงอะไรกันเนี่ย? พุดดิ้งก็ซื้อให้ไปแล้วนี่นา,,,,"What to do first? What do you mean, Yuno? I already bought you the pudding.",
,,,,,,,,,ให้เดาใจผู้หญิง สอบให้ได้ 100 คะแนนเต็มยังง่ายซะกว่า,,,,Guessing a woman's mind is easier than getting a perfect 100 on a test.,
,,,,,,,,,ต้องตอบว่าอะไรดีเนี่ย…,,,,What should I say...,
,,MusMus-BGM-125,,,,,,,ช่วยไม่ได้ คงต้องทำไอนั่นจริงๆสินะ,,,,"Can't be helped, I guess I'll have to do that.",
,,,,,,,,,คงต้องถึงเวลาของท่าไม้ตายที่พ่อเคยสอนแล้วสินะ,,,,It must be time for that killer move Dad taught me.,
,,,,,,,,yuma,ก็ได้!,,,,Alright!,
,border,,,,,,,,ผมวางสัมภาระลงแล้วเดินทิ้งระยะออกไปราวๆ 5 เมตร,,,,I put down my bags and walked about 5 meters away.,
,,,,,,panic2_2,,yuno,นี่พี่ลุกขึ้นมาทำไมจะทำอะไรเนี่ย!,,yuno_2_10_026,,"Hey, why did you stand up? What are you going to do?",
,,,,,,,,,เดี๋ยวพี่จะโชว์วิชาที่สอบทอดกันมาของผู้ชายตระกูลคุซากะเอง,,,,I'm going to show you the technique passed down in the Kusaka family of men.,
,,,,,,,,,ผมเก้าท้าวขวาออกมา พร้อมตั้งท่าบินตัวไปทางซ้าย พอได้ท่าที่มั่นคงก็เก้าเท้าซ้ายเอียงออกมา จากนั้นก็เตะขาพร้อมกับเหวี่ยงแขนขึ้นไป,,,,"I stepped out with my right foot, ready to leap to the left. Once in a stable position, I shifted my left foot out. Then I kicked my leg while swinging my arms up.",
,,,,,,,,,ต่อมาก็ออกแรงกระโดดหมุนตัวขึ้นไปกลางอากาศ พร้อมกับพับขาเข้ามา พอถึงพื้นก็สไลด์กับพื้นเข้าไปหายูโนะ แล้วก้มหัวลงพร้อมกับเอามือ 2 ข้างแตะพื้น,,,,"Next, I jumped and spun in the air, tucking in my legs. As I landed, I slid towards Yuno, then bowed my head and placed both hands on the ground.",
,exicted,,,,,,,yuma,พี่ขอโทษนะยูโนะ!!,,,,"I'm sorry, Yuno!!",
,hide excited,,,,,,,,ใช้แล้วนี่คือท่า “กระโดนหมุนตัวตีลังกาก้มกราบความเร็วสูง” นั่นเอง,,,,"This is the ""High-speed Spinning Jump Somersault Bow"" technique.",
,,,0,yuno_p,,cry2_shy,,yuno,นี่มันท่าน่าขยะแขยงของพ่อนี่นา พี่จะมาทำทำไมเนี่ย!,,yuno_2_10_027,,This is Dad's disgusting move! Why are you doing this?!,
,,,,hide yuno_p,,,,yuma,ให้โอกาสพี่อีกครั้งด้วยเถอะ ครั้งนี้พี่สัญญาว่าพี่จะทำให้ยูโนะเป็นเทพแห่งคณิตศาสตร์ให้ได้เลย!,,,,"Please give your brother another chance. This time, I promise I'll make you a math goddess!",
,,MusMus-BGM-105a,,,,,,,….ทำไมยูโนะถึงเงียบไปล่ะเนี่ย,,,,...Why did Yuno go quiet?,
,,,,yuno_p,,shy_2_shy,,,พอผมหันไปก็เจอยูโนะกำลังหน้าแดงอยู่ สงสัยท่าไม้ตายนี้จะใช้ได้ผลกับผู้หญิงบ้านคุซากะจริงๆสินะ,,,,"When I looked up, I saw Yuno blushing. Maybe this killer move really does work on Kusaka women.",
,,,,,,,,yuma,ดูเหมือนจะได้ผลสินะ,,,,"Looks like it worked, huh?",
,,,,,,panic4_2_shy,,yuno,ใครจะไปชอบท่าแบบนี้กันเล่า ไม่ใช่แม่ซักหน่อย!,,yuno_2_10_028,,Who would like a move like that? I'm not Mom!,
,,,,,,onegai_2_shy,,yuno,แต่ว่า…จะยกโทษให้ก็ได้,,yuno_2_10_029,,But... I'll forgive you.,
,,,,,,,,yuma,จริงหรอ?,,,,Really?,
,,,,,,angry,,yuno,จริงสิ แล้วก็ลุกขึ้นมาซักทีเถอะน่า ไม่อายคนอื่นเค้ารึไง?,,yuno_2_10_030,,"Yes, now get up already. Aren't you embarrassed in front of others?",
,,,,,,,,yuma,ยูโนะไม่ได้อยากให้พี่ทำแบบนี้เหรอ?,,,,"Didn't you want me to do this, Yuno?",
,,,1,,,cry2,,yuno,ไม่ใช่ซักหน่อย แค่พูดขอโทษธรรมดาก็พอแล้วจะมากระโดดหมุนตัวตีลังกาก้มกราบความเร็วสูงอะไรนั่นทำไม!,,yuno_2_10_031,,Not at all! A simple apology would've been enough. Why did you have to do that high-speed spinning jump somersault bow thing!,
,,,,hide yuno_p,,,,yuma,ก็แบบนี้มันเท่กว่านี่นา...,,,,But this is cooler...,
,,,,,,,,,ด้วยเหตุนี้พวกเราจึงกลับมาเริ่มต้นติวกันอีกครั้ง!!,,,,"And so, we started tutoring again!!",
,,,,,,,,,,,,,,
home_livingroom_night,,MusMus-BGM-087,0,yuno_p,,ah,,yuno,นี่พี่ขนหนังสืออะไรมาเยอะแยะเนี่ย?,,yuno_2_10_032,,"Brother, what's with all these books you brought?",
,,,,,,,,yuma,เมื่อวานพี่ลองคิดหาวิธีการสอนแบบใหม่ที่ทำให้เข้าใจง่ายขึ้น ไม่ต้องใช้สูตรแล้ว,,,,"Yesterday, I tried to think of new teaching methods that are easier to understand, without using formulas.",
,,,,,,ah_2,,yuno,จริงหรอ? ทำยังไง ช่วยสอนหน่อย หนูพร้อมที่จะเป็นปรมาจารย์ด้านคณิตศาสตร์แล้ว,,yuno_2_10_033,,"Really? How? Teach me, I'm ready to become a math master!",
,,,,,,,,yuma,จากที่พี่ดูเมื่อวาน พี่คิดว่ายูโนะสามารถมองวิธีการตั้งสมการได้ถูกต้องเลย เพียงแต่ไม่สามารถแก้สมการที่ติดค่าสแควรูทได้สินะ,,,,"From what I saw yesterday, I think you can set up equations correctly, Yuno. You just can't solve equations with square roots, right?",
,,,,,,,,yuma,จริงๆ แล้วนอกจากการใช้สูตรก็มีอีกวิธีนึงอยู่ ซึ่งก็คือคือการจัดรูปกำลังสองสมบูรณ์,,,,"Actually, besides using formulas, there's another method called completing the square.",
,,,,,,serious_2,,yuno,เอ๋ แค่ชื่อก็ฟังดูยากแล้ว,,yuno_2_10_034,,Eh? Even the name sounds difficult.,
,,,,hide yuno_p,,,,yuma,ลองดูก่อนน่า บางทีอาจจะง่ายกว่าที่คิดก็ได้,,,,Let's try it first. It might be easier than you think.,
,yuma_sensei03,,,,,,,yuma,ขอยกตัวอย่างให้เห็นภาพ เริ่มจากโจทย์ข้อนี้,,,,Let me give you an example to visualize. Let's start with this problem...,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,yuma,ถ้าอย่างงั้น ลองแก้โจทย์ข้อนี้โดยไม่ใข้การแยกตัวประกอบดูหน่อยสิ,,,,"If that's the case, try solving this problem without factoring.",
,,,,,,ah,,yuno,โห ถ้าใช้วิธีแยกตัวประกอบได้ ข้อนี้ง่ายมากเลยนะเนี่ย,,yuno_2_10_035,,"Wow, if we could use factoring, this would be very easy.",
,,,,,,,,yuno,อืม… คิดไม่ออกเลย พี่ช่วยใบ้หน่อยสิ,,yuno_2_10_036,,"Hmm... I can't figure it out. Can you give me a hint, brother?",
,,,,,,,,yuma,ก่อนอื่น เริ่มจากสูตรกำลังสองสมบูรณ์เลยแล้วกัน,,,,"First, let's start with the perfect square formula.",
,yuma_sensei04,,,,,,,yuma,กำลังสองสมบูรณ์จะมีอยู่ 2 สูตรหลักๆด้วยกัน ตามนี้,,,,"There are mainly two perfect square formulas, like this:",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,[Image of formulas would be here],
,,,,,,ah_2,,yuno,สูตรนี้หนูจำได้แล้ว แต่ไม่รู้ว่ามันจะใช้ยังไงนะสิ ก็ตัวหลังในสูตรมันต้องเป็นบวกไม่ใช่เหรอ แต่ในโจทย์ข้อนี้มันเป็นลบนี่นา แบบนี้จะใช้สูตรได้จริงๆ เหรอ,,yuno_2_10_037,,"I remember this formula, but I don't know how to use it. Doesn't the last term in the formula have to be positive? But in this problem, it's negative. Can we really use the formula like this?",
