bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en
,,,,hide kazuma,,,,kazuma,การยกเลิกจำหน่ายน้ำอัดลมเป็นการปรับสภาพแวดล้อมของโรงเรียนให้ดีขึ้น ช่วยลดการเสพติดน้ำอัดลมที่ไม่ดีต่อสุขภาพได้,,kazuma_2_3_008,,Banning soda sales will improve the school environment and help reduce addiction to unhealthy sodas.
,,,,risa,,normal,,risa,ดีมาก เดี๋ยวครูจะประกาศผลการโหวตตอนนี้เลย,,risa_2_3_002,,"Excellent. I'll announce the voting results now, Teacher Risa says."
,,,,,,,,risa,ขอโทษด้วยนะที่ก่อนหน้านี้ไม่ได้มาช่วยจัดงานเลย,,risa_2_3_003,,I'm sorry I couldn't help with organizing the event earlier.
,,,,hide risa,,smile,,risa,เพื่อเป็นการเปลี่ยนบรรยากาศ เย็นวันนี้พวกเธอมีธุระอะไรไหม เดี๋ยวครูพาไปเลี้ยงข้าวเอง,,risa_2_3_004,,"To change the atmosphere, do you all have plans this evening? I'll treat you to dinner."
,,,,akane,,smile,,akane,นานๆ ทีพักผ่อนบ้างก็ดีเหมือนกันนะคะ,,akane_2_3_004,,"It would be nice to take a break once in a while, Reka agrees."
,,,,hide akane,,,,,,,,,
,,,,,,,,yuma,เราจะไปที่ไหนกันเหรอครับ,,,,Where are we going? I ask.
,,,,risa,,smile,,risa,ถ้าอย่างนั้น เย็นวันนี้เวลา 18:30 น. เจอกันที่ห้างฯ โอเคไหม,,risa_2_3_005,,How about meeting at the mall at 6:30 PM? Is that okay?
,,,,hide risa,,,,,,,,,
,,,,reika,,smile_2,,reika,ได้ค่ะ,,reika_2_3_013,,Sure.
,,,,hide reika,,,,,,,,,
,,,,,,,,yuma,โอเคครับ,,,,Okay.
,,,,risa,,smile,,risa,โอเค ถ้าอย่างนั้น เจอกันเย็นวันนี้นะ ถือเป็นการพักผ่อนคลายเครียดไปในตัว,,risa_2_3_006,,"Alright then, see you this evening. Consider it a chance to relax and de-stress."
,,,,,,,,risa,ใกล้ถึงเวลาเรียนแล้ว เตรียมแยกย้ายเข้าห้องเรียนกันเถอะ,,risa_2_3_007,,It's almost time for class. Let's head to our classrooms.
,,,,hide risa,,,,yuma,รับทราบ,,,,Understood.
,,,,,,,,,หลังจากนั้นพวกเราทุกคนก็เดินออกจากห้องสภานักเรียนไปที่ห้องเรียนของตัวเอง,,,,"After that, we all walked out of the student council room to our respective classrooms."
,,,,,,,,,………,,,,...
school_classroom_noon,,MusMus-BGM-139,,,,,,,ตอนนี้เป็นเวลาบ่ายโมงกว่าๆ ก่อนเริ่มเรียนคาบเรียนที่ 5,,,,"It's now just after 1 PM, before the start of the fifth period."
,,,,,,,,,หลังจากที่ผมกับเรกะเดินเข้าห้องเรียน ดูเหมือนว่าเพื่อนร่วมชั้นกำลังคุยกันเรื่องยกเลิกการจำหน่ายน้ำอัดลมในโรงเรียน,,,,"After Reka and I enter the classroom, it seems our classmates are discussing the ban on soda sales in school."
,,,,,,,,student_m_a,เห็นข่าวหรือยัง ผลโหวตคือ 82% เห็นด้วยกับการยกเลิกจำหน่ายน้ำอัดลมในโรงเรียน,,,,"Did you see the news? 82% voted in favor of banning soda sales in school, one student says."
,,,,,,,,student_m_b,เห็นแล้ว ในแชทกลุ่ม LIME มีแต่คนพูดเรื่องนี้เต็มไปหมด,,,,"Yeah, the LIME group chat is full of people talking about it, another replies."
,,,,,,,,student_m_a,ไม่อยากเชื่อว่าฉันเป็น 18% ที่เหลือ คราวนี้หลังจากซ้อมกีฬาตอนเช้าเสร็จ ฉันจะดื่มอะไรแทนน้ำอัดลมดีเนี่ย,,,,I can't believe I'm in the 18% minority. What am I going to drink after morning sports practice now?
,,,,,,,,student_m_a,ถ้าลองเอาน้ำส้มมาเขย่าดู อาจจะทำให้รู้สึกซ่าแบบน้ำอัดลมได้มั้ยนะ,,,,"Maybe if you shake orange juice, it'll feel fizzy like soda?"
,,,,,,,,student_m_b,มันจะเป็นแบบนั้นได้ไงเล่า!,,,,That's not how it works!
,,,,,,,,student_m_b,ฉันว่าบางทีนายอาจจะเสพติดน้ำอัดลมมากเกินไปแล้วจริงๆ ก็ได้,,,,"I think you might be too addicted to soda, honestly."
,,,,,,,,,ดูเหมือนสมาชิกชมรมกีฬาจะไม่เห็นด้วยกับการยกเลิกน้ำอัดลม,,,,It seems the sports club members disagree with the soda ban.
,,,,,,,,student_f_a,จะยกเลิกหรือไม่ยกเลิกสำหรับฉันมันก็ไม่ได้มีผลอะไรอยู่แล้ว ก็ฉันดื่มแต่น้ำแร่นี่นา,,,,Whether they ban it or not doesn't affect me. I only drink mineral water anyway.
,,,,,,,,student_f_b,แต่ฉันว่ามันก็เป็นเรื่องที่ดีนะที่ทำให้น้ำอัดลมเข้าถึงได้ยากในพื้นที่โรงเรียน บางทีอาจจะช่วยให้นักเรียนหลายคนเลิกกินน้ำอัดลมได้จริงๆ ก็ได้,,,,But I think it's a good thing to make soda less accessible at school. It might help many students quit drinking soda.
,,,,,,,,,ดูเหมือนว่าความคิดเห็นแบ่งเป็นสองฝั่งชัดเจน มีทั้งคนที่เห็นด้วยและไม่เห็นด้วยกับการยกเลิกจำหน่ายน้ำอัดลม,,,,"Opinions are clearly divided, with both supporters and opponents of the soda ban."
,,,,,,,,,แต่เพราะการโหวตเป็นเรื่องปกติของโรงเรียนแห่งนี้นักเรียนทุกคนจึงยอมรับผลลัพธ์ที่เกิดขึ้นได้โดยไม่มีปัญหา,,,,"But because voting is normal at this school, all students accept the results without issues."
,,,,,,,,,แม้จะมีความคิดเห็นแตกต่างกันบ้าง แต่ทุกคนก็ยอมรับในผลลัพธ์ที่เกิดขึ้นได้,,,,"Even with differing opinions, everyone accepts the outcome."
,,,,,,,,,ดูเหมือนตอนนี้จะถึงเวลาเรียนแล้ว,,,school_alarm,It seems it's time for class now.
blackboard,,MusMus-BGM-139,,risa,,ah,,risa,เอาล่ะ ถึงเวลาเรียนแล้ว ทุกคนกลับนั่งที่ให้เรียบร้อย,,risa_2_3_008,,"Alright, class time. Everyone, back to your seats, Teacher Risa announces."
,,,,,,sadistic_s,,risa,ถ้าวันนี้ใครไม่ตั้งใจเรียนอีกละก็ คงจะรู้ใช่ไหมว่าจะเกิดอะไรขึ้น,,risa_2_3_009,,"If anyone isn't paying attention today, you know what will happen."
,,,,,,,,,ครูริสะก็หันมามองหน้าผมด้วยสายตาที่ดูไม่เป็นมิตรสักเท่าไร,,,,She turns to look at me with an unfriendly gaze.
school_classroom_noon,,,1,reika,,normal_2,,yuma,นี่ เรกะ ฉันว่าบางทีเราน่าจะเสนอนโยบายยกเลิกการเรียนหลังช่วงพักกลางมันดีมั้ย,,,,"Hey, Reka, I whisper. ""Do you think we should propose a policy to cancel classes after lunch break?"""
,,,,,,angry_2,,reika,ไร้สาระ ต่อให้ย้ายไปตอนเช้า นายก็อ้างอยู่ดีว่าพึ่งตื่นได้ไม่นาน ยังง่วงนอนไม่หาย,,reika_2_3_014,,"Nonsense. Even if we moved them to the morning, you'd still complain about just waking up and being sleepy."
,,,,,,cold_2,,reika,ดังนั้น หยุดบ่นแล้วตั้งใจเรียนซะ,,reika_2_3_015,,"So stop whining and pay attention,"
,,,,hide reika,,,,,เรกะเมินผมและหันกลับไปเรียนอย่างตั้งใจ,,,,Reka dismisses me and turns back to focus on the lesson.
,,,,,,,,,ช่วยไม่ได้ ผมเบื่อวิชาชีววิทยานี่นา ถ้าเป็นวิชาคณิตศาสตร์ก็ว่าไปอย่าง,,,,"I can't help it. I'm bored with biology. If it were math, it'd be different."
,,,,,,,,,ครั้งหน้าลองเสนอนโยบายเปลี่ยนทุกคาบเรียนเป็นวิชาคณิตฯ ดีไหมนะ,,,,Maybe next time I should propose a policy to change all classes to math?
