bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,,
,,,,,,,,,ยูโนะพูดด้วยท่าทีขี้เล่น ดวงตาเป็นประกาย,,,,"Yuno says playfully, her eyes sparkling.",,
,,,,,,,,yuma,พี่ไม่ใช่นางเอกการ์ตูนตาหวานสักหน่อย,,,,I'm not some wide-eyed anime heroine.,,
,,,,,,crymeme2,,yuno,ชิ พี่ไม่รักหนูแล้วใช่มั้ย หนูอุตส่าห์เตรียมอาหารเช้าไว้แล้ว,,yuno_2_1_014,,Hmph. Don't you love me anymore? I even prepared breakfast for you.,,
,,,,,,,,yuma,เอาไว้วันหลังน่า ตอนนี้สายแล้ว,,,,Maybe next time. I'm late now.,,
,,,,hide yuno_c,,smile_2,,yuno,ไปดีมาดีนะ,,yuno_2_1_015,,Take care!,,
,,,,,,,,,พอพูดจบ ผมก็รีบวิ่งพรวดออกจากบ้านทันที,,,家の階段を駆け上る,"With that, I dash out of the house.",,
,,,,,,,,,ลองคิดดูแล้วแอบเสียดายอาหารเช้าฝีมือน้องสาวเหมือนกันนะ,,,,"Now that I think about it, I do regret missing my little sister's home-cooked breakfast.",,
,,,,,,,,,………,,,,........,,
neighborhood_noon,,MusMus-BGM-87,,,,,,,ผมรีบวิ่งสุดกำลังเพื่อไปโรงเรียนให้ทัน,,,run,,,
back_street_noon,,,,,,,,,,,,,,,
,,,,,,,,,ผมสะดุดหกล้มเพราะเผลอไปเตะถังเหล็กเข้าโดยบังเอิญ,,,ロボットを殴る1,I trip and fall because I accidentally kicked a metal bin.,,
,,,,,,,,yuma,โอ๊ย!,,,,Ouch!,,
,,,,,,,,yuma,ให้ตายสิ คนยิ่งรีบอยู่,,,,"Damn it, I'm in such a hurry.",,
,,,,,,,,,ตอนนี้ชุดนักเรียนของผมเปรอะเปื้อนฝุ่นตามถนน แถมเนคไทก็หลุดลุ่ย,,,,"Now my school uniform is covered in street dust, and my tie is all messed up.",,
,,,,,,,,,ช่างมัน ตอนนี้ยังไม่จำเป็นต้องใส่ใจเรื่องเล็กๆ น้อยๆ แบบนี้,,,,Never mind. There's no need to worry about little things like this right now.,,
,,,,,,,,,รีบไปโรงเรียนก่อนดีกว่า,,,,I'd better hurry to school.,,
school_front_noon,,MusMus-BGM-107,,,,,,yuma,ในที่สุด… ก็… มา… ถึง… โรงเรียน… แล้ว,,,,Finally... I've... made it... to... school...,,
,,,,,,,,,แม้ว่าบ้านของผมอยู่ห่างจากโรงเรียนไม่มาก,,,,"Although my house isn't far from school,",,
,,,,,,,,,แต่ถ้ามัวแต่เดินเอ้อระเหยเหมือนทุกที สายแน่นอนหนึ่งร้อยเปอร์เซ็นต์,,,,"If I had dawdled like usual, I'd be late for sure.",,
,,,,,,,,,ด้วยเหตุนี้ผมจึงวิ่งอย่างสุดกำลัง จนมาถึงโรงเรียนในเวลา 8:29 น. ทันเวลาอย่างฉิวเฉียด,,,,"That's why I ran with all my might, arriving at school at 8:29 AM, just in the nick of time.",,
,,,,,,,,,หากมาช้ากว่านี้เพียงแค่หนึ่งนาทีจะถือว่ามาสาย,,,,"If I had been even a minute later, I would have been considered late.",,
,border,MusMus-BGM-125,,,,,border,,เมื่อหันไปดูบรรยากาศรอบข้าง พบว่าหน้าโรงเรียนตอนนี้มีแต่ความวุ่นวาย,,,,"Looking around, I see the school entrance is in chaos.",,
,,,,akane,,angry,,akane,นี่เธอ กระโปรงสั้นไปหรือเปล่า,,akane_2_1_001,,"Hey, isn't your skirt too short?",,
,,,,,,,,student_f_a,คิดว่าไม่...นะคะ,,,,I don't... think so...,,
,,,,,,serious,,akane,นั่นสินะ ถ้างั้นฉันขอตรวจสอบสักหน่อยละกัน,,akane_2_1_002,,"Is that so? Well then, let me check.",,
,,,,hide akane,,,,,พอพูดจบ อากาเนะก็หยิบไม้บรรทัดออกมาทาบบริเวณชายกระโปรงของนักเรียนหญิงคนนั้น,,,,"As soon as she finishes speaking, Akane pulls out a ruler and places it against the girl's skirt hem.",,
,,,,akane,,serious,,akane,16.6 เซนติเมตร… กฎของโรงเรียนอนุญาตให้นักเรียนหญิงสวมกระโปรงสั้นเหนือเข่าได้แค่ 15 เซนติเมตร,,akane_2_1_003,,16.6 centimeters... School rules only allow girls' skirts to be 15 centimeters above the knee.,,
,,,,,,,,student_f_a,สั้นว่าแค่ไม่กี่เซนติเมตรเอง แกล้งปล่อยผ่านไปเถอะ,,,,"It's just a few centimeters, can't you let it slide?",,
,,,,,,angry,,akane,ไม่ได้ค่ะ กฎต้องเป็นกฎ,,akane_2_1_004,,"No, rules are rules.",,
,hide border,,,hide akane,,,,,นักเรียนหญิงอ้อนวอนขอให้อะลุ่มอล่วย แต่อากาเนะปฏิเสธเสียงแข็ง,,,,"The girl pleads for leniency, but Akane firmly refuses.",,
,,,,,,,,,ทันใดนั้นผมเผลอสบตาอากาเนะเข้า เธอเดินมาทางผมอย่างไม่รอช้า,,,,"Just then, I accidentally make eye contact with Akane. She walks towards me without delay.",,
,,,,,,,,,ให้ความรู้สึกราวกับปีศาจที่กำลังย่างกรายเข้ามา,,,,It feels like a demon approaching.,,
akane,,,,,,,,,อิวาโนะ อากาเนะ กรรมการฝ่ายระเบียบวินัย เธออยู่มัธยมปลายชั้นปีหนึ่ง,,,,"Iwano Akane, member of the Disciplinary Committee. She's a first-year high school student.",,
,,,,,,,,,ทำหน้าที่สอดส่องดูแลความเรียบร้อยภายในโรงเรียน,,,,Her job is to oversee and maintain order within the school.,,
,,,,,,,,,เธอเป็นยึดมั่นในกฎระเบียบตามตัวอักษรทุกกระเบียดนิ้ว,,,,She adheres strictly to every letter of the rules.,,
,,,,,,,,,ถ้าเห็นคนทำผิดกฎก็จะพุ่งเข้าไปตักเตือนทันที ไม่ว่าอีกฝ่ายเป็นใครก็ตาม,,,,"If she sees someone breaking a rule, she'll rush over to scold them, no matter who they are.",,
,,,,,,,,,แม้กระทั่งรุ่นพี่ปีสองและปีสามต่างก็เกรงกลัวและยอมสยบให้กับเธอ,,,,Even second and third-year seniors fear and submit to her.,,
,,,,,,,,akane,รุ่นพี่ยูมะ พอไม่มีงานสภานักเรียนก็มาสายเลยนะ!,,akane_2_1_005,,"Senior Yuma, when there's no student council work, you're late!",,
,,,,,,,,,อากาเนะตะโกนเสียงดังลั่น นักเรียนทุกคนที่อยู่บริเวณหน้าโรงเรียนต่างมองมาที่พวกเรา,,,,Akane shouts loudly. Every student at the school entrance turns to look at us.,,
,,,,,,,,yuma,อากาเนะ ใจเย็นๆ ก่อน,,,,"Akane, calm down for a second.",,
,,,,,,,,akane,จะให้ใจเย็นได้ยังไงกัน,,akane_2_1_006,,How can I be calm?,,
,,,,,,,,akane,เป็นคนจากสภานักเรียน อย่าริอ่านมาสายเด็ดขาด เข้า-ใจ-ไหม,,akane_2_1_007,,"As a member of the student council, don't you dare be late, un-der-stand?",,
,,,,,,,,yuma,ไม่นับสิ ฉันมาทันเวลาแบบฉิวเฉียดเลยนะ ยังไม่ถึง 8:30 น. สักหน่อย,,,,"No way, I made it just in time. It's not even 8:30 AM yet.",,
school_front_noon,,MusMus-BGM-29,1,akane,,look2,,akane,ก็ได้ รอบนี้ถือว่ารุ่นพี่ยูมะมาทันเวลา แต่อย่าให้มีครั้งถัดไปอีกนะ เข้า-ใจ-ไหม,,akane_2_1_008,,"Fine, this time I'll consider Senior Yuma on time. But don't let there be a next time, un-der-stand?",,
,,,,,,,,yuma,ครับ เข้าใจแล้วครับ,,,,"Yes, I understand.",,
,,,,,,onegai,,akane,เห้อ นอกจากมาเกือบสายแล้วยังแต่งตัวไม่เรียบร้อยอีก เนคไทหลุดลุ่ยหมดแล้ว,,akane_2_1_009,,"Sigh, not only are you almost late, but you're not even dressed properly. Your tie is all messed up.",,
,,,,,,,,yuma,ช่วยไม่ได้นี่นา เมื่อกี้รีบวิ่งมาสุดชีวิต เนคไทเลยหลุดกลางทาง,,,,"I couldn't help it. I was running here at full speed, so my tie came loose on the way.",,
,,,,,,,,akane,ให้ตายสิ ช่วงหลังมานี้พวกนักเรียนชายชอบคิดว่าสวมเนคไทหลุดลุ่ยเป็นเรื่องเท่กันอยู่ด้วย,,akane_2_1_010,,"Good grief. Lately, the male students seem to think wearing a loose tie looks cool.",,
,,,,,,serious,,akane,เสื้อผ้าที่ไม่เรียบร้อยเปรียบเสมือนจิตใจที่ยุ่งเหยิง,,akane_2_1_011,,Untidy clothes reflect a chaotic mind.,,
,,,,,,,,akane,รุ่นพี่เป็นสมาชิกสภานักเรียน ต้องเป็นตัวอย่างที่ดีให้กับนักเรียนคนอื่นสิ,,akane_2_1_012,,You're a member of the student council. You should set a good example for other students.,,
,,,,,,,,yuma,รู้แล้วล่ะน่า ,,,,"I know, I know. I'm fixing my tie now.",,
,,,,,,,,,ทันใดนั้น อากาเนะก็คว้าเนคไทในมือผมไป,,,,"Suddenly, Akane grabs the tie from my hand.",,
,,,,,,angry,,akane,ไม่ต้อง เดี๋ยวฉันจะผูกให้เอง,,akane_2_1_013,,"No need, I'll tie it for you.",,
,,,,,,normal,,,เอ๊ะ วันนี้มาแปลกนะเนี่ย,,,,Huh? This is unusual.,,
,,,,,,,,,คุณกรรมการระเบียบวินัยสุดโหดอย่างอากาเนะเนี่ยจะจะผูกเนคไทให้,,,,The super-strict disciplinary committee member Akane is going to tie my tie?,,
,,,,,,,,,ไอ้นั่นสินะ ที่เขาเรียกกันว่าแฟนเซอร์วิส,,,,Isn't this what they call fan service?,,
,,,,,,,,yuma,เธอผูกเนคไทเป็นด้วยเหรอเนี่ย,,,,Do you even know how to tie a tie?,,
,,,,,,look,,akane,ผูกเป็นเพราะมีคนที่แต่งตัวไม่เรียบร้อยอย่างรุ่นพี่อยู่ไงคะ,,akane_2_1_014,,"I learned because there are people like you who can't dress properly, Senior.",,
,,,,,,s2,,akane,…แล้วก็ถือโอกาสไว้ลงโทษคนทำผิดกฏในเวลาเดียวกันด้วย!,,akane_2_1_015,,...And it's also a chance to punish rule-breakers at the same time!,,
,,,,,,,,,ทันใดนั้น เนคไทที่คอผมก็รัดแน่นขึ้นมาอย่างกะทันหัน,,,squeeze,"Suddenly, the tie around my neck tightens abruptly.",,
,,,,,,,,yuma,โอ๊ยๆ หายใจไม่ออก จะตายแล้ว พอก่อน,,,,"Ow, ow! I can't breathe. I'm dying. Stop, please!",,
,,,,,,,,,หลังจากผมร้องขอชีวิตอยู่สักพักหนึ่ง ในที่สุดอากาเนะก็ยอมปล่อยมือออก,,,,"After I plead for my life for a while, Akane finally lets go.",,
,,,0,akane,,normal,,akane,จำไว้ คราวหน้าอย่าให้มีเหตุการณ์แบบนี้เกิดขึ้นอีกนะ,,akane_2_1_016,,"Remember, don't let this happen again.",,
,,,,,,,,,,,,escape,,คุณไปทำเองนะ,[VFX - Sprite มายะโผล่เข้ามาจากมุมขวาแปปนึง แล้วพุ่งออกจากเฟรมไปอย่างรวดเร็ว]
,,,,akane,,angry,,akane,ถ้ารุ่นพี่ยูมะตื่นเช้าตั้งแต่แรก ก็ไม่ต้องรีบวิ่งจนกระเซอะกระเซิงและเนคไทหลุดลุ่ยแบบนี้,,akane_2_1_017,,"If Senior Yuma woke up early in the first place, you wouldn't have to rush and end up all disheveled with a loose tie like this.",,
,,,,,,,,akane,จำไว้ นกที่ตื่นเช้าจับหนอนกินได้ก่อนใคร,,akane_2_1_018,,"Remember, the early bird catches the worm.",,
,,,,,,,,yuma,หนอนที่ตื่นสายจะรอดจากการถูกนกกิน,,,,The late worm avoids being caught by the bird.,,
,,,1,akane,,angrymeme,angry,akane,รุ่น~พี่~ยู~ มะ~,,akane_2_1_019,,Senior Yu~ ma~,,
,,,,,,,,akane,บางทีโรงเรียนในนรกอาจจะอนุญาตให้มาสายก็ได้นะ สนใจลองดูสักหน่อยมั้ย,,akane_2_1_020,,Maybe schools in hell allow tardiness. Want to try it out?,,
,,,,,,,,,อากาเนะกำเนคไทของผมไว้แน่น ผมสัมผัสได้ว่าเธอพร้อมออกแรงอย่างเต็มที่,,,,Akane grips my tie tightly. I can feel she's ready to use her full strength.,,
,,,,,,,,yuma,ขอโทษ! เข้าใจแล้วค้าบ รอบหน้าจะไม่มาสายอีกแล้ว,,,,I'm sorry! I understand! I won't be late again!,,
,,,,,,serious,,akane,เข้าใจก็ดีแล้ว… อ๊ะ!,,akane_2_1_021,,Good that you understand... Ah!,,
,,,,,,,,,ทันใดนั้น อากาเนะทำสายตาเหมือนแมวที่เจอหนูวิ่งผ่านต่อหน้าต่อตา,,,,"Suddenly, Akane's eyes look like a cat that's just spotted a mouse running by.",,
,,,,hide akane,,s2,,akane,หยุดก่อน นักเรียนชายตรงนั้น จะรีบไปไหน นายมาโรงเรียนสายนะ,,akane_2_1_022,,"Stop right there, boy! Where are you rushing to? You're late for school.",,
,,,,,,,,student_m_a,งานเข้า นึกว่าจะรอดแล้วเชียว,,,,Trouble's brewing. I thought I was in the clear.,,
,,,,,,,,,พอพูดจบ อากาเนะก็วิ่งไปขวางนักเรียนที่มาสาย,,,,"As soon as she finishes speaking, Akane runs to block the late student.",,
,,,,,,,,,ขืนอยู่ต่อผมอาจจะโดนลูกหลงไปด้วย ด้วยเหตุนี้ผมจึงอาสัยจังหวะชุลมุนรีบเดินเข้าอาคารเรียน,,,,"If I stay any longer, I might get caught in the crossfire. So, I take advantage of the commotion to quickly enter the school building.",,
