bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx
,,,,,,,,,จู่ๆ เธอก็แสดงท่าทางไม่สบอารมณ์ จ้องมองมาที่ผมด้วยสายตาทิ่มแทง อีกทั้งกดน้ำหนักลงไปที่ขามากกว่าเดิม,,,
wakeup07,,,,,,,,yuno,ท่าทางแบบนี้ พี่แอบฝันถึงผู้หญิงคนอื่นใช่มั้ย?!,,yuno_1_1_015,
wakeup06,,,,,,,,yuno,ทำไมผู้หญิงในฝันคนนั้นถึงไม่ใช่หนูล่ะ!,,yuno_1_1_016,
,,,,,,,,yuma,กะ... ก็มันเป็นความฝันนี่นา จะให้ทำยังไงล่ะ,,,
wakeup05,,,,,,,,yuno,แค่ฝันถึงน้องสาวสุดที่รัก เรื่องง่ายๆ แค่นี้ทำไมจะทำไม่ได้,,yuno_1_1_017,
wakeup03,,,,,,,,,เธอยื่นหน้าเข้ามาใกล้เรื่อยๆ จนแทบจะสัมผัสได้ถึงลมหายใจ,,,
,,,,,,,,,น้ำหนักกดลงมาที่หน้าอกผมจนหายใจลำบาก,,,
wakeup00,,,,,,,,yuno,อ๊ะ ครบ 5 นาทีแล้ว หมดเวลาสนุกแล้วสิ,,yuno_1_1_018,目覚まし時計のアラーム
wakeup03,,,,,,,,yuno,รีบแต่งตัวและตามมาที่โต๊ะอาหาร ห้ามหลับต่อเด็ดขาดนะ!,,yuno_1_1_019,
home_yuumabedroom_morning,,,,,,,,,พอพูดจบ ยูโนะก็เดินจากไป,,,ドアを閉める2
,,,,,,,,,แม้จะยังง่วงนอนอยู่เพราะความฝันประหลาดๆ เมื่อกี้นี้,,,
,,,,,,,,,แต่ถ้าขืนยังหลับต่อมีหวังโดนยูโนะโกรธเข้าแน่,,,
,,,,,,,,,ด้วยเหตุนี้ผมจึงรีบอาบน้ำแปรงฟันและไปหายูโนะที่ห้องรับแขก,,,
,,,,,,,,,.........,,,
home_livingroom_morning,,MusMus-BGM-021,,yuno,,ah_2,,yuno,ทำไมวันนี้พี่ดูรีบร้อนจังเลย มีธุระอะไรหรือเปล่า,,yuno_1_1_020,
,,,,,,,,yuma,วันนี้มีกิจกรรมที่โรงเรียนช่วงเช้า เพราะงั้นเลยต้องรีบไปเตรียมตัวล่วงหน้า,,,
,,,,,,hehe,,yuno,ถึงว่า ปกติพี่ชอบหลับต่อรอบที่สองทุกครั้งเลย,,yuno_1_1_021,
,,,,,,,,yuma,ไม่ใช่ทุกครั้งสักหน่อย,,,
,,,1,,,smile_2,,,ผมกับยูโนะอาศัยอยู่ในบ้านเดียวกัน,,,
,,,,,,,,,คุณแม่ของพวกเราเสียชีวิตจากอุบัติเหตุตั้งแต่ตอนเด็กๆ,,,
,,,,,,,,,ส่วนคุณพ่อเป็นนักวิจัยด้านปัญญาประดิษฐ์อยู่ที่ต่างประเทศ กลับบ้านเพียงปีละหนึ่งครั้ง,,,
,,,,,,,,,เดิมทีคุณพ่อก็ไม่ได้อยากไปต่างประเทศ จนกระทั่งได้รับข้อเสนอจากบริษัทเอกชนข้ามชาติขนาดใหญ่,,,
,,,,,,,,,ด้วยเงินทุนสนับสนุนนี้ พวกเราจึงมีชีวิตสุขสบายกว่าครอบครัวอื่น,,,
,,,,,,wow,shine,yuno,เย้ กดกาชาได้แมวน้ำหายากระดับ SSR แล้ว ขอโพสต์อวดลงกลุ่มก่อน,,yuno_1_1_022,レベルアップ
,,,,,,hehe,,yuno,ตัวนี้ดีไหมคะ กดสุ่มเล่นๆ รอบเดียวแล้วได้เลย แฮชแท็ก สายฟรี,,yuno_1_1_023,
,,,,,,,,yuma,สายฟรีตรงไหน เธอเติมเงินเยอะมากจนติดอันดับ Top 10 ของเซิร์ฟเวอร์แล้วไม่ใช่หรือไง,,,
,,,,,,smug_2,,yuno,ไม่มีใครแคร์ถ้าบอกว่าได้ตัวละคร SSR เพราะเติมเงินหรอกนะ ต้องบอกว่าสายฟรีสิถึงจะเร้าใจ,,yuno_1_1_024,
,,,,,,,,yuma,สายฟรีที่ไหน สายเปย์ชัดๆ,,,
,,,0,,,smug3_2,,,ให้ตายเถอะ ขอโทษคนในอินเทอร์เน็ตแทนน้องสาวผมด้วย,,,
,,,,,,,,,ช่วงหลัง ไม่สิ ตั้งแต่จำความได้ น้องสาวของผมติดเกมงอมแงม,,,
,,,,,,,,,Seal Impact เป็นเกมแนว RPG แบบโอเพ่นเวิลด์ที่ได้รับความนิยมอย่างล้นหลาม,,,
,,,,,,,,,ในเกมนี้ผู้เล่นไม่สามารถซื้อของที่ต้องการตรงๆ ได้,,,
,,,,,,,,,ต้องใช้เงินจริงซื้อเพชร แล้วนำเพชรไปสุ่มหาของที่ต้องการอีกที,,,
,,,,,,,,,เรียกว่าระบบการสุ่มแบบกาชา,,,
,,,,,,,,,ยูมะ: “ทำไมถึงต้องเล่นเกมกาชาที่ทุกอย่างขึ้นอยู่กับการสุ่มด้วย เล่นเกมอื่นที่จ่ายเงินซื้อตัวละครไปเลยไม่ดีกว่าเหรอ”,,,
,,,1,,,confident2,,,ยูโนะ: “พี่เนี่ยน้า~ ไม่เข้าใจเกมเมอร์ยุคใหม่เลยสักนิด”,,,
,,,,,,,,,ยูโนะ: “เกมกาชาได้รับความนิยมเพราะว่ามัน ‘อวด’ ได้ไงล่ะ”,,,
,,,,,,,,,ยูโนะ: “ถ้าจ่ายเงินซื้อของทุกอย่างที่ต้องการได้ มันจะไปมีค่าอะไร”,,,
,,,,,,,,,ดูเหมือนว่าน้องสาวของผมติดกับดักการตลาดเข้าเต็มๆ,,,
,,,,,,normal_2,,yuma,รู้หรือเปล่าว่าเกมกาชาถูกออกแบบมาเพื่อรีดเงินในกระเป๋าสตางค์ของผู้เล่นให้ได้มากที่สุด,,,
,,,,,,,,yuma,ทั้งการจำกัดเวลาที่ทำให้ผู้เล่นรู้สึกว่าต้องรีบซื้อทันที มีขายแค่ครั้งเดียว พลาดแล้วพลาดเลย,,,
,,,,,,,,yuma,ระบบการสุ่มกระตุ้นสารเคมีในสมองอย่างเช่นอะดรีนาลีน ให้ผู้เล่นรู้สึกตื่นเต้นจนอยากจ่ายเงินมากยิ่งขึ้น,,,
,,,,,,,,yuma,อีกทั้งสกุลเงินพิเศษที่ถอดแบบมาจากเหรียญชิปคาสิโน ทำให้เผลอจ่ายเงินมากเกินความจำเป็นโดยไม่รู้ตัว,,,
,,,,,,,,yuma,นอกจากนี้ยังมี—,,,
,,,,,,hee,angry,yuno,พูดมากน่ารำคาญ ทีพี่เองยังซ่อนแผ่นเกมโป๊ไว้ใต้เตียง ลองนับดูสิว่าเป็นเงินเท่าไหร่,,yuno_1_1_025,
,,,,,,,,yuma,เกมโป๊ซื้อรอบเดียวจบ ไม่เหมือนเกมกาชาที่ต้องเติมเรื่อยๆ ไม่มีวันสิ้นสุด,,,
,,,,,,,,yuma,อีกอย่าง พี่แอบเกมโป๊ไว้ที่ตู้หนังสือด้านใน หลังตำราแคลคูลัส ไม่ได้เก็บไว้ใต้เตียงสักหน่อย,,,
,,,,,,hehe,,yuno,ฮั่นแน่! คราวหน้าขอเวลา ‘ต-ร-ว-จ-ส-อ-บ’ สักหน่อยนะพี่จ๋า~,,yuno_1_1_026,
,,,,,,,,,แย่แล้ว เผลอหลุดปากจนได้ ยัยน้องสาวตัวแสบนี้ฉลาดไม่เบา,,,
,,,,,,,,yuma,เรื่องนั้นเอาไว้ก่อน สายแล้ว พี่ไปโรงเรียนก่อนนะ,,,
,,,,,,smug2_2,,yuno,พอถูกจับได้ก็รีบหนีเลยนะ,,yuno_1_1_027,
,,,,hide yuno,,,,,เพราะคำว่า ‘ของมันต้องมี’ นี่แหละ ที่ทำให้สัดส่วนหนี้ครัวเรือนเพิ่มสูงขึ้นทุกปี,,,
,,,,,,,,,จริงอยู่ที่คุณพ่อได้เงินก้อนโตจากงานวิจัยและส่งเงินมาให้ใช้อย่างไม่ขัดสนทุกเดือน,,,
,,,,,,,,,แต่คนเราก็ต้องรู้จักประหยัดอดออมกันบ้าง คำว่าออมเงินกลายเป็นคำต้องห้ามไปแล้วหรือ,,,
,,stop music,,,,,,,สักวันหนึ่งผมจะอบรมน้องสาวเรื่องการใช้เงินอย่างจริงจัง แต่ตอนนี้ต้องรีบไปโรงเรียนแล้ว,,,
