bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx
,,,,,,,,,อีกทั้งเป็นลูกชายของนักการเมืองชื่อดัง ด้วยเหตุนี้จึงเป็นที่ชื่นชอบของบรรดาสาวๆ ในโรงเรียน,,,
,,,,,,,,yuma,งานแถลงการณ์เริ่มเมื่อไหร่,,,
,,,,,,normal,,kazuma,อีก 10 นาที ยังมีเวลาเหลือเฟือ,,kazuma_1_2_002,
,,,,,,,,yuma,โอเค เข้าใจแล้ว,,,
,,,,,,ah,,akane,นักเรียนทุกคนมากันหมดแล้ว พร้อมหรือยัง,,akane_1_2_004,
,,,,,,,,yuma,พร้อมแล้ว ไม่มีปัญหา,,,
,,,,,,smile,,kazuma,ถ้าอย่างนั้นก็เริ่มเลย,,kazuma_1_2_003,
,,,,hide kazuma,,,,,......,,,
school_conventionhall_limelight,,,,,,,,,......,,,スポットライトが当たる
,,,,,,,,,.......,,,スポットライトが当たる
podium01,,MusMus-BGM-165,,,,,,,เมื่อม่านเปิดขึ้นก็เผยให้เห็นภาพของหญิงสาวยืนอยู่บนโพเดี้ยม,,,
,,,,,,,,student_f_a,ท่านเรกะเท่ที่สุด สมกับเป็นประธานนักเรียนของพวกเรา,,,
,,,,,,,,student_m_a,ได้ข่าวว่าสัปดาห์ก่อนมีคนสารภาพรักแต่โดนปฏิเสธแบบไม่มีเยื่อใย,,,
,,,,,,,,student_m_b,สมกับที่ได้ฉายา ‘ราชินีไร้เทียมทาน’ ผู้มีจิตใจแข็งแกร่งดั่งป้อมปราการเหล็ก ไม่มีใครทำให้ใจเธอหวั่นไหวได้แม้แต่คนเดียว,,,
podium00,,,,,,,,reika,สวัสดีทุกคน ฉันชื่อคุโรมิยะ เรกะ ประธานนักเรียนของโรงเรียนเอกชนซิลเวอร์ซีล,,reika_1_2_001,歓声と拍手1
,,,,,,,,reika,นักเรียนใหม่บางคนอาจจะยังไม่ทราบประวัติความเป็นมาของโรงเรียนแห่งนี้,,reika_1_2_002,
,,,,,,,,reika,ดังนั้นฉันขอเล่าประวัติภูมิหลังทั้งหมดอีกครั้งหนึ่ง และถือเป็นการทบทวนสำหรับคนที่ทราบแล้ว,,reika_1_2_003,[SFX - เสียงคนคุยกันในที่สาธารณะ]
podium01,,,,,,,,reika,"โรงเรียนซิลเวอร์ซีลเป็นโรงเรียนเอกชนที่มีนักเรียนกว่า 1,400 คน",,reika_1_2_004,
,,,,,,,,reika,ด้วยความร่วมมือจากภาครัฐและภาคเอกชนหลายแห่ง โรงเรียนนี้จึงกลายเป็นโรงเรียนต้นแบบที่ส่งเสริมประชาธิปไตยเต็มรูปแบบภายใต้แนวคิด ‘ประชาธิปไตยระดับชาติ ล้วนมีรากฐานมาจากห้องเรียน,,reika_1_2_005,
,,,,,,,,student_m_a,น่าเบื่อจัง ฟังมาสิบรอบแล้ว,,,
,,,,,,,,student_m_b,นั่นสิ พูดเหมือนเดิมจนท่องตามได้แล้ว,,,
,,,,,,,,akane,นักเรียนชายตรงนั้น ที่นี่คือหอประชุม โปรดอย่าส่งเสียงดังรบกวน,,akane_1_2_005,
,,,,,,,,student_m_b,ขอโทษครับ,,,
podium04,,,,,,,,reika,ที่ผ่านมา หลายโรงเรียนชูจุดเด่นว่าเป็นโรงเรียนส่งเสริมประชาธิปไตย แต่สุดท้ายแล้วไม่มีอะไรเกิดขึ้น,,reika_1_2_006,
,,,,,,,,reika,เพราะจัดการเลือกตั้งเป็นพิธีกรรมเท่านั้น สุดท้ายคนที่ตัดสินทุกอย่างคือคุณครูและบอร์ดบริหารโรงเรียน,,reika_1_2_007,
podium00,,,,,,,,reika,แต่โรงเรียนซิลเวอร์ซีลของเราจะไม่เป็นแบบนั้น ที่นี่อำนาจสูงสุดอยู่ที่นักเรียนอย่างแท้จริง,,reika_1_2_008,
,,,,,,,,reika,นักเรียนทุกคนมีสิทธิ์ในการลงคะแนนเสียงในญัตติต่างๆ ซึ่งนโยบายที่ได้รับคะแนนโหวตสูงที่สุดจะถูกนำไปปฏิบัติและมีผลบังคับใช้จริง,,reika_1_2_009,
,,,,,,,,reika,ทุกคนมี 1 สิทธิ์ 1 เสียงเท่ากันในการกำหนดทิศทางของโรงเรียนอย่างแท้จริง,,reika_1_2_010,
podium01,,,,,,,,reika,สำหรับญัตติในวันนี้ ผู้ยื่นเสนอคือสมาคมศิษย์เก่า,,reika_1_2_011,
,,,,,,,,reika,โรงเรียนซิลเวอร์ซีลมีเครื่องดื่มจำหน่ายมากมาย หนึ่งในนั้นคือน้ำอัดลม,,reika_1_2_012,
,,,,,,,,reika,ไม่ปฏิเสธว่าน้ำอัดลมทำให้สดชื่น กระปรี้กระเปร่า ดับกระหายคลายร้อนได้เป็นอย่างดี,,reika_1_2_013,
,,,,,,,,reika,แต่ในขณะเดียวกัน การดื่มน้ำอัดลมมากเกินไปจะก่อให้เกิดโทษต่อสุขภาพร่างกาย,,reika_1_2_014,
,,,,,,,,reika,น้ำอัดลมไม่ว่ายี่ห้อไหนก็ประกอบด้วยน้ำ น้ำตาล กรดคาร์บอนิก กรดฟอสฟอริก คาเฟอีน สารแต่งสี สารแต่งกลิ่น รวมไปถึงสารกันบูด,,reika_1_2_015,
,,,,,,,,reika,สิ่งที่ทำให้น้ำอัดลมอันตรายกว่าเครื่องดื่มทั่วไปคือกรดคาร์บอนิก,,reika_1_2_016,
,,,,,,,,reika,กรดคาร์บอนิกเป็นกรดที่ได้มาจากปฏิกิริยาระหว่างน้ำกับก๊าซคาร์บอนไดออกไซด์ ซึ่งกรดนี้สามารถย่อยสลายหินปูนได้ จึงมีผลทำให้กระดูกและฟันถูกกัดกร่อน,,reika_1_2_017,
,,,,,,,,reika,โรงเรียนซิลเวอร์ซีลมีน้ำอัดลมหลายยี่ห้อวางจำหน่ายอยู่ แต่สมาคมศิษย์เก่าเสนอว่าควรยกเลิกการจำหน่ายน้ำอัดลมในพื้นที่โรงเรียนถาวร,,reika_1_2_018,
,,,,,,,,reika,นักเรียนทุกท่านมีความเห็นอย่างไร ควรอนุญาตให้จำหน่ายน้ำอัดลมต่อ หรือยกเลิกการจำหน่ายน้ำอัดลมถาวร โปรดลงคะแนนเสียงภายในสัปดาห์นี้,,reika_1_2_019,
,,,,,,,,reika,ขอจบการนำเสนอเพียงเท่านี้ ใครมีคำถามอะไรไหม,,reika_1_2_020,
school_conventionhall_limelight,,,,,,,,,หลังเรกะพูดจบ หอประชุมตกอยู่ในความเงียบสงบ,,,
,,,,,,,,,จนกระทั่งเสียงหนึ่งทำหลายความเงียบขึ้นมา,,,
,,,,,,,,student_m_b,คุณคุโรมิยะมีแฟนหรือยังครับ ช่วยบอกสเปคผู้ชายที่ชอบหน่อยครับ,,,
,,,,,,,,student_m_a,โอ้ คนจริง ขอคารวะตัวแทนหมู่บ้านของพวกเรา,,,歓声と拍手1
podium00,,,,,,,,reika,สเปคผู้ชายที่ชอบเหรอ... อันดับแรกคือไม่ใช่คนแบบนายล่ะนะ,,reika_1_2_021,
,,,,,,,,reika,ที่นี่คือหอประชุม พื้นที่สาธารณะที่ทุกคนใช้งานร่วมกัน,,reika_1_2_022,
,,,,,,,,reika,ไม่มีสุภาพบุรุษที่ดีคนไหนโผงผางเรื่องส่วนตัวกลางพื้นที่สาธารณะหรอกนะ,,reika_1_2_023,
school_conventionhall_limelight,,,,,,,,student_m_b,อะเฮือก!,,,
,,,,,,,,student_m_a,เห้ย ทำใจดีๆ ไว้ วิญญาณหลุดออกจากร่างไปซะแล้ว,,,
podium00,,,,,,,,reika,ดูเหมือนว่าคงไม่มีคำถามแล้วนะ ถ้างั้นก็แยกย้ายกลับเข้าห้องเรียนได้,,reika_1_2_024,
,,,,,,,,,พอพูดจบ นักเรียนทุกคนก็ทยอยเดินออกจากหอประชุม,,,
school_corridor_noon,,MusMus-BGM-CP04,,,,,,student_m_a,ตัวแทนหมู่บ้านโดน Critical Hit เข้าเต็มๆ ไม่มีใครสู้ ‘ราชินีไร้เทียมทาน’ ได้เลย,,,
,,,,,,,,student_m_b,ไม่มีความปรานีกันบ้างเลย ว่าแต่นายน่ะ ยูมะ บอกหน่อยสิว่าคุณคุโรมิยะมีจุดอ่อนอะไรบ้าง,,,
,,,,,,,,yuma,วันก่อนมีคนแอบสอดจดหมายรักเข้ามาในกองเอกสาร พอเรกะเห็นก็หยิบไปใส่เครื่องทำลายเอกสารทันทีเลย,,,
,,,,,,,,student_m_b,ดูท่าทางจะหมดหวังแล้วพวกเรา,,,
,,,,,,,,,ระหว่างตัวแทนหมู่บ้านกับลิ่วล้อกำลังคุยเรื่องเรกะ ผมหันไปเห็นผู้หญิงคนหนึ่งทำท่าพะว้าพะวังหน้าตู้กดน้ำ,,,
,flyingseal01,MusMus-BGM-127,,,,,,maya_0,ตู้กดน้ำนี้มันใช้งานยังไงเนี่ย,,maya_1_2_001,
,,,,,,,,maya_0,เอ๊ะ หน้าจอทัชสกรีนด้วยเหรอ,,maya_1_2_002,
,,,,,,,,maya_0,กดปุ่มนี้...... หรือว่าปุ่มนี้......,,maya_1_2_003,決定ボタンを押す28
,,,,,,,,maya_0,ใช้ยากชะมัด ทำไมไม่ทำปุ่มกดให้มันใช้ง่ายๆ กันเล่า,,maya_1_2_004,
,,,,,,,,maya_0,จริงด้วย คิดออกแล้ว,,maya_1_2_005,
,hide flyingseal01,,,,,,,maya_0,เอานี่ไปกิน,,maya_1_2_006,
,kick01,,,,,,,maya_0,ย้ากกกกกก!,,maya_1_2_007,ロボットを殴る1
,,,,,,,,maya_0,แปลกจัง ทำไมกระป๋องน้ำถึงไม่หล่นลงมาแบบในอนิเมะ,,maya_1_2_008,
,,,,,,,,maya_0,สงสัยออกแรงน้อยไปหน่อย,,maya_1_2_009,
,hide kick01,,,,,,,maya_0,ดีล่ะ รอบนี้ได้แน่นอน คงต้องใช้เทคนิคขั้นสูงกันสักหน่อยแล้ว,,maya_1_2_010,
,kick04,,,,,,,maya_0,รับไปซะ ลูกเตะอัคคีสลาตัน!,,maya_1_2_011,背負い投げ2
,,,,,,,,,จะบ้าเหรอ นี่มันตู้กดน้ำ ไม่ใช่ลูกบอล,,,
,hide kick04,,,,,,,,ผมรีบเข้าไปห้ามก่อนที่จะเกิดความเสียหายมากไปกว่านี้,,,
,,,,,,,,,ยูมะ: “เดี๋ยวสิ ทำอะไรของเธอเนี่ย”,,,
,,MusMus-BGM-034,,maya,,ah,,maya_0,อ๊ะ คนจากสภานักเรียนใช่มั้ย พอดีเลย นายมานี่หน่อยสิ,,maya_1_2_012,
,,,,,,angry,,maya_0,ตู้เสียแน่เลย กดปุ่มแล้วไม่เห็นมีน้ำออกมาเลย,,maya_1_2_013,
,,,,,,,,yuma,ตู้ไม่ได้เสียซักหน่อย เธอน่ะใช้ตู้ผิดวิธีต่างหาก,,,
,,,,hide maya,,,,maya_0,งั้นนายช่วยสอนวิธีการใช้หน่อยสิ,,maya_1_2_014,
,flyingseal05,,,,,,,yuma,เข้าใจแล้ว ก่อนอื่นเลยตู้นี้มีชื่อเรียกว่า แมวน้ำบิน,,,
,,,,,,,,yuma,ตู้กดเครื่องดื่มอัตโนมัติรุ่นใหม่ล่าสุดที่ใช้พื้นที่แค่ 1x1 ตารางเมตร,,,
,,,,,,,,yuma,จุดเด่นคือเสริฟเครื่องดื่มใส่แก้วเลย ไม่ใช่กระป๋องหรือขวดน้ำแบบตู้กดน้ำธรรมดา,,,
,,,,,,,,yuma,นอกจากนี้ยังเลือกประเภทเครื่องดื่ม ร้อน-เย็น-ปั่น ได้มากกว่า 180 เมนูเลยทีเดียว,,,
,,,,,,,,yuma,เนื่องจากมีเมนูเครื่องดื่มให้เลือกเยอะมาก จึงต้องสั่งงานผ่านหน้าจอสัมผัสขนาดใหญ่,,,
,hide flyingseal05,,,,,,,yuma,วิธีใช้ไม่ยาก เลือกเมนูที่ต้องการ เลือกระดับความหวานและจ่ายเงิน ทำตามขั้นตอนได้เลย,,,
,,,,maya,,ah_2,,maya_0,ว้าว จริงด้วย ใช้งานไม่ยากอย่างที่คิดแฮะ,,maya_1_2_015,
,,,,,,,,maya_0,นี่นายเป็นพนักงานบริษัทผลิตตู้เครื่องดื่มที่ปลอมตัวมาเป็นนักเรียนหรือเปล่าเนี่ย,,maya_1_2_016,
,,,,,,,,yuma,จริงๆ แล้วผมเป็นประธานบริษัท! ……ไม่ใช่ จะเป็นแบบนั้นได้ยังไงเล่า!?,,,
,,,,,,confident,,maya_0,ตำรวจยังปลอมตัวเป็นเจ้าของร้านไก่ทอดเกาหลีได้เลย ถ้านายปลอมตัวเป็นนักเรียนก็ไม่ใช่เรื่องแปลก,,maya_1_2_017,
,,,,,,,,yuma,ผมเป็นแค่นักเรียนธรรมดา ไม่ใช่ตำรวจสักหน่อย,,,
,,,,,,serious,,maya_0,ถ้างั้นก็… นักเรียนที่แฝงตัวแทรกซึมเข้ามาในโรงเรียนเพื่อตามหาผู้ใช้พลัง Astral ที่น่าสงสัย,,maya_1_2_018,
,,,,,,,,yuma,แล้วความลับก็รั่วไหลโดยผู้หญิงผมสีชมพูที่สวมแผ่นเสริมหน้าอก,,,
,,,,,,onegai_2,,maya_0,เห… นายนี่รอบรู้ดีจัง สมกับที่เป็นคนจากสภานักเรียน ว่าแต่เกมนั้นมันเรต 18+ ไม่ใช่เหรอ,,maya_1_2_019,
,,,,,,,,yuma,ไม่มีปัญหา ตัวละครในเกมนี้ทุกคนอายุ 18 ปีขึ้นไป,,,
,,,,,,,,,Narrator: “ ** หมายเหตุ: ตัวละครทุกคนในเกม Re:Fragment อายุ 18 ปีขึ้นไป ** ” //ขึ้นข้อความเน้นสี ทำตัวหนา,,,
,,,,,,uwah_2,,maya_0,เอ๊ะ หน้าจอขึ้นแบบนี้ ต้องทำอะไรต่อ,,maya_1_2_020,決定ボタンを押す53
,,,,,,,,yuma,กดปุ่มถัดไป จากนั้นปรับแต่งเมนูตามความต้องการได้เลย,,,
,,,,,,ah_2,,maya_0,งั้นฉันเอาอันนี้ละกัน... เลือกระดับความหวาน……?,,maya_1_2_021,
,,,1,,,fun,,maya_0,จัดไปเต็มพิกัด ระดับความหวาน 140%,,maya_1_2_022,
,,,,,,,,yuma,กินหวานมากไม่ดีต่อสุขภาพนะ แถมอาจทำให้อ้วนได้ด้วย,,,
,,,,,,angry,angry,maya_0,พูดเรื่องน้ำหนักกับสาวน้อยแบบนี้ เสียมารยาทนะ นายไม่เข้าใจจิตใจของผู้หญิงเลยสักนิด,,maya_1_2_023,
,,,,,,,,yuma,มันร้ายแรงขนาดนั้นเลยเหรอ?,,,
,,,,,,hee2_2,,maya_0,ใช่นะสิ ถ้าไม่เปลี่ยนวิธีพูด ระวังจะไม่มีแฟนไปตลอดชีวิตนะ,,maya_1_2_024,
,,,,,,smile_2,,maya_0,แต่ว่าตอนนี้นายยังมีโอกาสแก้ตัวอยู่นะ,,maya_1_2_025,
,,,,,,,,yuma,โอกาสแก้ตัว?,,,
,,,,,,confident2,,maya_0,ใช่แล้ว ถ้านายเลี้ยงน้ำฉัน ไม่แน่ว่าค่าความชอบของฉันอาจจะเพิ่มขึ้นก็ได้น้า~,,maya_1_2_026,
,,,,,,,,yuma,เธอก็แค่อยากจะหลอกกินฟรีไม่ใช่หรือไง,,,
,,,,,,pero,,maya_0,ถูกจับได้ซะแล้ว แหะๆ,,maya_1_2_027,
,,,0,,,ah_2,,maya_0,ว่าแต่นายชื่ออะไรนะ จำได้แค่อยู่ในสภานักเรียน ไม่คุ้นชื่อเลย,,maya_1_2_028,
,,,,,,,,yuma,ผมชื่อคุซากะ ยูมะ นักเรียนชั้นปี 2 เป็นเหรัญญิกสังกัดสภานักเรียน ปกติทำแต่งานเอกสารเบื้องหลัง ไม่ได้ขึ้นเวทีหรือออกหน้างานเท่าไหร่,,,
,,,,,,smile_2,,maya,ชิราซากิ มายะ ชั้นปี 3 เรียกสั้นๆ ว่ามายะได้เลย,,maya_1_2_029,
,,,,,,,,yuma,เข้าใจแล้วครับ รุ่นพี่ชิราซากิ,,,
,,,1,,,angry,angry,maya,มา-ยะ,,maya_1_2_030,
,,,,,,,,,จู่ๆ เธอก็เน้นเสียงด้วยความหนักแน่น,,,
,,,,,,,,yuma,ถ้างั้นผมขอเรียกว่ารุ่นพี่มายะละกัน,,,
,,,0,,,smile_2,,maya,ดีมาก ยูคุง,,maya_1_2_031,
,,,,,,,,yuma,ยูคุง?,,,
,,,,,,,,,พึ่งเจอหน้ากันครั้งแรกก็ตั้งชื่อเล่นให้แล้ว,,,
,,,,,,,,,เผลอแป๊บเดียวก็เพิ่มค่าความสนิทได้เร็วขนาดนี้ สุดยอดไปเลย,,,
,,,,,,,,,ช่างแตกต่างจากคนมืดมนอย่างผมลิบลับ นี่สินะสิ่งมีชีวิตที่เรียกว่าสาวแกล,,,
,,,,,,ah,,maya,จริงด้วย นึกออกแล้ว,,maya_1_2_032,
,,,,,,,,yuma,อะไรอีกหรอครับ,,,
,,,,,,huh,,maya,นายอยู่สังกัดสภานักเรียนสินะ ช่วยไปบอกคนในสภานักเรียนหน่อยว่าฉันไม่เอาด้วยหรอก,,maya_1_2_033,
,,,,,,,,maya,อยู่ดีๆ จะมายกเลิกน้ำอัดลมได้ยังไงกัน ถ้าวันนี้ยกเลิกการจำหน่ายน้ำอัดลมได้ วันต่อไปก็ประกาศยกเลิกชาและกาแฟได้ ฉันไม่เห็นด้วยเด็ดขาด,,maya_1_2_034,
,,,,,,,,yuma,แต่งานวิจัยบอกว่าน้ำอัดลมไม่ดีต่อสุขภาพนะ,,,
,,,,,,angry,,maya,มันก็จริง แต่ว่าถ้าใครอยากดื่มน้ำอัดลมก็ดื่ม ไม่อยากดื่มก็ไม่ต้องดื่ม ไม่เห็นยากเลย,,maya_1_2_035,
,,,,,,serious,,maya,ฉันคิดว่าพวกสมาคมศิษย์เก่าที่เสนอนโยบายนี้ต้องมีลับลมคมในอะไรบางอย่างแน่ๆ,,maya_1_2_036,
,,,,,,,,yuma,ก็เป็นไปได้อยู่ แต่โชคดีที่โรงเรียนนี้ตัดสินทุกอย่างด้วยการโหวตลงคะแนน,,,
,,,,,,,,yuma,ถ้าเป็นโรงเรียนอื่น พวกครูหรือไม่ก็บอร์ดบริหารคงบังคับใช้กฎใหม่ไปแล้ว,,,
,,,,,,normal_2,,maya,ว่าแต่ยูคุง นายคิดยังไงกับเรื่องนี้,,maya_1_2_037,
,,,,,,,,yuma,การยกเลิกน้ำอัดลมหรือไม่นั้นเป็นเรื่องของมติส่วนรวม ผลลัพธ์ขึ้นอยู่กับคะแนนเสียงของทุกคน,,,
,,,,,,huh,,maya,น่าเบื่อชะมัด คำตอบของนายเนี่ยเหมือนประกาศจากสภานักเรียนไม่มีผิด,,maya_1_2_038,
,,,,,,serious,,maya,โยนเรื่องกฎระเบียบทิ้งไปก่อน ฉันถามความคิดเห็นของนาย,,maya_1_2_039,
,,,,,,,,maya,นายน่ะคิดยังไง เห็นด้วยกับการยกเลิกการจำหน่ายน้ำอัดลมในโรงเรียนหรือไม่,,maya_1_2_040,
,,,,,,,,,CHOICE#1,,,
,,,,,,,,,เห็นด้วย,,,
,,,,,,,,,ไม่เห็นด้วย,,,
,,,,,,,,,กรณีเลือก choice1 เห็นด้วย,,,
,,,,,,,,yuma,ผมคิดว่าควรยกเลิกการจำหน่ายน้ำอัดลม,,,
,,,,,,,,yuma,ปัญหาไม่ใช่เรื่องใครอยากดื่มก็ดื่ม ใครไม่อยากดื่มก็ไม่ต้องดื่ม แต่เป็นเรื่องของสภาพแวดล้อมภายในโรงเรียนต่างหาก,,,
,,,,,,,,yuma,การที่นักเรียนเห็นน้ำอัดลมตลอดเวลา จะทำให้นักเรียนคุ้นชินกับการดื่มน้ำอัดลม และมองว่าน้ำอัดลมเป็นสิ่งที่เข้าถึงง่าย ส่งผลให้มีแนวโน้มดื่มน้ำอัดลมมากขึ้น,,,
,,,,,,,,,กรณีเลือก choice2 ไม่เห็นด้วย,,,
,,,,,,,,yuma,นั่นสินะ ไม่ปฏิเสธว่าน้ำอัดลมส่งผลเสียต่อสุขภาพ,,,
,,,,,,,,yuma,แต่ช่วงสอบหรือเวลาที่เหนื่อย บางทีก็รู้สึกว่าอยากหาอะไรดื่มเพื่อให้กระปี้กระเป่ามากขึ้น,,,
,,,,,,,,yuma,ซึ่งไม่มีอะไรดีไปกว่าน้ำอัดลมเย็นๆ สักแก้วแล้วล่ะ,,,
,,,,,,,,,เพราะฉะนั้นผมคิดว่าควรจำหน่ายน้ำอัดลมต่อไป,,,
,,,,,,,,,......,,,
,,,,,,smile_2,,maya,อย่างนี้นี่เอง ที่นายพูดมาก็มีเหตุผล เข้าใจแล้ว,,maya_1_2_041,
,,,,,,hurt_2,,maya,แย่แล้ว จู่ๆ ก็สัมผัสได้ถึงจิตสังหาร comment - ทำ font ตัวเล็กลง / หรี่เสียงให้ต่ำกว่าปกติ,,maya_1_2_042,
,,,,,,,,,รุ่นพี่มายะพูดพึมพำอะไรสักอย่าง,,,
,,,,,,,,yuma,เมื่อกี้เธอว่าอะไรนะ,,,
,,,,,,shy2,,maya,ปะ… เปล่า,,maya_1_2_043,
,,,,,,wink,,maya,ฉันต้องรีบไปแล้ว ไว้เจอกันใหม่นะ ขอบใจมาก ยูคุง~,,maya_1_2_044,
,,,,hide maya,,,,,หลังพูดจบ มายะก็รีบวิ่งขึ้นบันไดพร้อมกับแก้วเครื่องดื่มจากตู้แมวน้ำบิน,,,家の階段を駆け上る
,,,,,,,,yuma,อะไรของเขากันนะ พิลึกคน,,,
,,,,,,,,,ทันใดนั้นผมก็รู้สาเหตุที่รุ่นพี่มายะทำตัวแปลกไป,,,
,,,,akane,,angry,,akane,เดี๋ยวเถอะ อย่าวิ่งบริเวณทางเดินนะ!,,akane_1_2_006,
,,,,,,angrymeme,,akane,อย่าหนีนะ …ให้ตายเถอะ ตามไม่ทันจนได้,,akane_1_2_007,
,,,,,,angry,,akane,รุ่นพี่ยูมะ ทำไมรุ่นพี่ถึงไม่ตักเตือนคุณชิราซากิคะ นอกจากวิ่งบริเวณทางเดินแล้วยัยนั่นยังแต่งตัวผิดระเบียบหัวจรดเท้าอีกต่างหาก,,akane_1_2_008,
,,,,,,,,yuma,ขอโทษคร้าบ ครั้งหน้าจะรีบตักเตือน,,,
,,,,,1,s2_s,,akane,อย่าให้หนูรู้นะว่ารุ่นพี่แกล้งทำเป็นมองไม่เห็นเพราะโดนยัยนั่นหว่านเสน่ห์ใส่น่ะ,,akane_1_2_009,
,,,,hide akane,,,,,ถึงว่า เมื่อสักครู่นี้รุ่นพี่มายะจะรีบวิ่งหนีไปเพราะเห็นอากาเนะสินะ,,,
,,,,,,,,,วันนี้มันอะไรกันเนี่ย วุ่นวายชะมัด,,,
